data element type	data element subtype	vector length/matrix row	matrix columns	number of non zeros	implementation type	metal implementation type	configuration interpretation for charts	loop unrolling factor	num CPU threads	num groups per grid	num threads per group	test data verification type	vefirication value	mean time milliseconds	stddev milliseconds
INT	VECTOR	32	0	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	TRUE_FALSE	TRUE	4.16e-05	3.8293333e-13
INT	VECTOR	32	0	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	2	1	0	0	TRUE_FALSE	TRUE	2.93e-05	7.9156667e-13
INT	VECTOR	32	0	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	4	1	0	0	TRUE_FALSE	TRUE	2.09e-05	4.8543333e-13
INT	VECTOR	32	0	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	8	1	0	0	TRUE_FALSE	TRUE	3.33e-05	3.0823333e-13
INT	VECTOR	32	0	0	MEMCPY	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	TRUE_FALSE	TRUE	2.91e-05	4.0343333e-13
INT	VECTOR	32	0	0	MEMCPY	NOT_APPLICABLE	REPORT_BEST	1	2	0	0	TRUE_FALSE	TRUE	0.0070458	4.0762048e-09
INT	VECTOR	32	0	0	MEMCPY	NOT_APPLICABLE	REPORT_BEST	1	4	0	0	TRUE_FALSE	TRUE	0.0207916	1.8208516e-07
INT	VECTOR	32	0	0	MEMCPY	NOT_APPLICABLE	REPORT_BEST	1	8	0	0	TRUE_FALSE	TRUE	0.0227584	1.0710274e-07
INT	VECTOR	32	0	0	METAL	DEFAULT_SHARED	REPORT_BEST	1	1	1	32	TRUE_FALSE	TRUE	0.1824792	5.6123093e-07
INT	VECTOR	32	0	0	METAL	DEFAULT_MANAGED	REPORT_BEST	1	1	1	32	TRUE_FALSE	TRUE	0.1473084	5.9886498e-07
INT	VECTOR	32	0	0	METAL	BLIT_SHARED	REPORT_BEST	1	1	0	0	TRUE_FALSE	TRUE	0.131375	6.3736202e-07
INT	VECTOR	32	0	0	METAL	BLIT_MANAGED	REPORT_BEST	1	1	0	0	TRUE_FALSE	TRUE	0.1462458	1.4346768e-06
INT	VECTOR	64	0	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	TRUE_FALSE	TRUE	4.6e-05	1.7844444e-13
INT	VECTOR	64	0	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	2	1	0	0	TRUE_FALSE	TRUE	3.32e-05	6.8906667e-13
INT	VECTOR	64	0	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	4	1	0	0	TRUE_FALSE	TRUE	3.3e-05	3.0266667e-13
INT	VECTOR	64	0	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	8	1	0	0	TRUE_FALSE	TRUE	2.91e-05	4.0343333e-13
INT	VECTOR	64	0	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	4	2	0	0	TRUE_FALSE	TRUE	0.0053583	4.5927357e-10
INT	VECTOR	64	0	0	MEMCPY	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	TRUE_FALSE	TRUE	2.1e-05	4.9e-13
INT	VECTOR	64	0	0	MEMCPY	NOT_APPLICABLE	REPORT_BEST	1	2	0	0	TRUE_FALSE	TRUE	0.0046667	1.6538912e-10
INT	VECTOR	64	0	0	MEMCPY	NOT_APPLICABLE	REPORT_BEST	1	4	0	0	TRUE_FALSE	TRUE	0.0103251	2.4421178e-08
INT	VECTOR	64	0	0	MEMCPY	NOT_APPLICABLE	REPORT_BEST	1	8	0	0	TRUE_FALSE	TRUE	0.0240126	1.1256052e-07
INT	VECTOR	64	0	0	METAL	DEFAULT_SHARED	REPORT_BEST	1	1	1	64	TRUE_FALSE	TRUE	0.1355793	1.2439738e-07
INT	VECTOR	64	0	0	METAL	DEFAULT_MANAGED	REPORT_BEST	1	1	1	64	TRUE_FALSE	TRUE	0.1638541	7.9176049e-07
INT	VECTOR	64	0	0	METAL	BLIT_SHARED	REPORT_BEST	1	1	0	0	TRUE_FALSE	TRUE	0.1388083	2.2627942e-07
INT	VECTOR	64	0	0	METAL	BLIT_MANAGED	REPORT_BEST	1	1	0	0	TRUE_FALSE	TRUE	0.1361542	8.8506138e-08
INT	VECTOR	128	0	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	TRUE_FALSE	TRUE	7.53e-05	6.909e-13
INT	VECTOR	128	0	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	2	1	0	0	TRUE_FALSE	TRUE	5.02e-05	3.0817778e-13
INT	VECTOR	128	0	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	4	1	0	0	TRUE_FALSE	TRUE	4.58e-05	1.7106667e-13
INT	VECTOR	128	0	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	8	1	0	0	TRUE_FALSE	TRUE	4.58e-05	1.7106667e-13
INT	VECTOR	128	0	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	4	2	0	0	TRUE_FALSE	TRUE	0.0052542	1.5983308e-09
INT	VECTOR	128	0	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	4	4	0	0	TRUE_FALSE	TRUE	0.0076584	9.48031e-09
INT	VECTOR	128	0	0	MEMCPY	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	TRUE_FALSE	TRUE	2.08e-05	4.8084444e-13
INT	VECTOR	128	0	0	MEMCPY	NOT_APPLICABLE	REPORT_BEST	1	2	0	0	TRUE_FALSE	TRUE	0.0058459	4.7371534e-09
INT	VECTOR	128	0	0	MEMCPY	NOT_APPLICABLE	REPORT_BEST	1	4	0	0	TRUE_FALSE	TRUE	0.0094042	1.3293187e-08
INT	VECTOR	128	0	0	MEMCPY	NOT_APPLICABLE	REPORT_BEST	1	8	0	0	TRUE_FALSE	TRUE	0.0125957	9.5341436e-09
INT	VECTOR	128	0	0	METAL	DEFAULT_SHARED	REPORT_BEST	1	1	1	128	TRUE_FALSE	TRUE	0.1655877	2.8131122e-07
INT	VECTOR	128	0	0	METAL	DEFAULT_MANAGED	REPORT_BEST	1	1	1	128	TRUE_FALSE	TRUE	0.1968502	6.8839522e-07
INT	VECTOR	128	0	0	METAL	BLIT_SHARED	REPORT_BEST	1	1	0	0	TRUE_FALSE	TRUE	0.1508374	1.3205811e-06
INT	VECTOR	128	0	0	METAL	BLIT_MANAGED	REPORT_BEST	1	1	0	0	TRUE_FALSE	TRUE	0.1393042	1.0743617e-06
INT	VECTOR	256	0	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	TRUE_FALSE	TRUE	0.0001126	7.9071111e-13
INT	VECTOR	256	0	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	2	1	0	0	TRUE_FALSE	TRUE	7.48e-05	7.0017778e-13
INT	VECTOR	256	0	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	4	1	0	0	TRUE_FALSE	TRUE	7.1e-05	4.1e-13
INT	VECTOR	256	0	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	8	1	0	0	TRUE_FALSE	TRUE	6.67e-05	4.5201111e-13
INT	VECTOR	256	0	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	4	2	0	0	TRUE_FALSE	TRUE	0.0047376	2.5016396e-09
INT	VECTOR	256	0	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	4	4	0	0	TRUE_FALSE	TRUE	0.0112124	3.0945082e-08
INT	VECTOR	256	0	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	4	8	0	0	TRUE_FALSE	TRUE	0.0172208	7.39069e-08
INT	VECTOR	256	0	0	MEMCPY	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	TRUE_FALSE	TRUE	2.51e-05	4.6676667e-13
INT	VECTOR	256	0	0	MEMCPY	NOT_APPLICABLE	REPORT_BEST	1	2	0	0	TRUE_FALSE	TRUE	0.0054499	1.1193363e-08
INT	VECTOR	256	0	0	MEMCPY	NOT_APPLICABLE	REPORT_BEST	1	4	0	0	TRUE_FALSE	TRUE	0.0072666	1.4595098e-08
INT	VECTOR	256	0	0	MEMCPY	NOT_APPLICABLE	REPORT_BEST	1	8	0	0	TRUE_FALSE	TRUE	0.0103001	1.2910539e-09
INT	VECTOR	256	0	0	METAL	DEFAULT_SHARED	REPORT_BEST	1	1	1	256	TRUE_FALSE	TRUE	0.1244457	2.6589247e-07
INT	VECTOR	256	0	0	METAL	DEFAULT_MANAGED	REPORT_BEST	1	1	1	256	TRUE_FALSE	TRUE	0.1196041	3.5784483e-07
INT	VECTOR	256	0	0	METAL	BLIT_SHARED	REPORT_BEST	1	1	0	0	TRUE_FALSE	TRUE	0.1134126	2.2636434e-07
INT	VECTOR	256	0	0	METAL	BLIT_MANAGED	REPORT_BEST	1	1	0	0	TRUE_FALSE	TRUE	0.1569749	7.0009533e-07
INT	VECTOR	512	0	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	TRUE_FALSE	TRUE	0.0002166	7.0204444e-13
INT	VECTOR	512	0	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	2	1	0	0	TRUE_FALSE	TRUE	0.0001458	8.7284444e-13
INT	VECTOR	512	0	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	4	1	0	0	TRUE_FALSE	TRUE	0.0001208	5.684e-13
INT	VECTOR	512	0	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	8	1	0	0	TRUE_FALSE	TRUE	0.0001126	3.9871111e-13
INT	VECTOR	512	0	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	4	2	0	0	TRUE_FALSE	TRUE	0.0043461	2.4068268e-09
INT	VECTOR	512	0	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	4	4	0	0	TRUE_FALSE	TRUE	0.0097916	2.7656874e-08
INT	VECTOR	512	0	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	4	8	0	0	TRUE_FALSE	TRUE	0.0121208	1.2092167e-08
