data element type	data element subtype	vector length/matrix row	matrix columns	number of non zeros	implementation type	metal implementation type	configuration interpretation for charts	loop unrolling factor	num CPU threads	num groups per grid	num threads per group	test data verification type	vefirication value	mean time milliseconds	stddev milliseconds
FLOAT	VECTOR	128	0	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	0	3.041e-05	3.4565848e-13
FLOAT	VECTOR	128	0	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	2	0	0	RMS	0	0.00653838	2.18504e-08
FLOAT	VECTOR	128	0	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	4	0	0	RMS	0	0.01126795	4.3243898e-08
FLOAT	VECTOR	128	0	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	8	0	0	RMS	0	0.01297205	1.401163e-08
FLOAT	VECTOR	128	0	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	16	0	0	RMS	0	0.05170166	1.2429614e-05
FLOAT	VECTOR	128	0	0	CPP_INTERLEAVED	NOT_APPLICABLE	REPORT_BEST	1	2	0	0	RMS	0	0.00421212	6.3472473e-09
FLOAT	VECTOR	128	0	0	CPP_INTERLEAVED	NOT_APPLICABLE	REPORT_BEST	1	4	0	0	RMS	0	0.00666579	5.8308869e-09
FLOAT	VECTOR	128	0	0	CPP_INTERLEAVED	NOT_APPLICABLE	REPORT_BEST	1	8	0	0	RMS	0	0.01324257	1.6695948e-08
FLOAT	VECTOR	128	0	0	CPP_INTERLEAVED	NOT_APPLICABLE	REPORT_BEST	1	16	0	0	RMS	0	0.01993912	2.5226694e-08
FLOAT	VECTOR	128	0	0	NEON	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	0	3.257e-05	3.3800515e-13
FLOAT	VECTOR	128	0	0	NEON	NOT_APPLICABLE	REPORT_BEST	2	1	0	0	RMS	0	2.999e-05	3.5346455e-13
FLOAT	VECTOR	128	0	0	NEON	NOT_APPLICABLE	REPORT_BEST	4	1	0	0	RMS	0	2.917e-05	3.6850616e-13
FLOAT	VECTOR	128	0	0	NEON	NOT_APPLICABLE	REPORT_BEST	8	1	0	0	RMS	0	2.668e-05	4.0458343e-13
FLOAT	VECTOR	128	0	0	NEON	NOT_APPLICABLE	REPORT_BEST	8	2	0	0	RMS	0	0.0038259	2.4607704e-09
FLOAT	VECTOR	128	0	0	NEON	NOT_APPLICABLE	REPORT_BEST	8	4	0	0	RMS	0	0.00674294	1.3902828e-08
FLOAT	VECTOR	128	0	0	VDSP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	2.3456026e-08	2.449e-05	4.2114131e-13
FLOAT	VECTOR	128	0	0	BLAS	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	2.3456026e-08	3.126e-05	1.0623358e-12
FLOAT	VECTOR	128	0	0	METAL	DEFAULT	REPORT_BEST	1	1	1	128	RMS	2.3456026e-08	0.11580869	2.650608e-07
FLOAT	VECTOR	512	0	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	0	4.331e-05	6.7367576e-14
FLOAT	VECTOR	512	0	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	2	0	0	RMS	0	0.00376832	6.3614384e-09
FLOAT	VECTOR	512	0	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	4	0	0	RMS	0	0.0066517	1.0335245e-08
FLOAT	VECTOR	512	0	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	8	0	0	RMS	0	0.0118505	1.7978584e-08
FLOAT	VECTOR	512	0	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	16	0	0	RMS	0	0.03325377	1.0464629e-05
FLOAT	VECTOR	512	0	0	CPP_INTERLEAVED	NOT_APPLICABLE	REPORT_BEST	1	2	0	0	RMS	0	0.0049371	4.4649812e-08
FLOAT	VECTOR	512	0	0	CPP_INTERLEAVED	NOT_APPLICABLE	REPORT_BEST	1	4	0	0	RMS	0	0.00647165	2.4555509e-08
FLOAT	VECTOR	512	0	0	CPP_INTERLEAVED	NOT_APPLICABLE	REPORT_BEST	1	8	0	0	RMS	0	0.01349706	2.9792474e-08
FLOAT	VECTOR	512	0	0	CPP_INTERLEAVED	NOT_APPLICABLE	REPORT_BEST	1	16	0	0	RMS	0	0.02771584	9.5123291e-08
FLOAT	VECTOR	512	0	0	NEON	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	0	8.583e-05	9.9132424e-14
FLOAT	VECTOR	512	0	0	NEON	NOT_APPLICABLE	REPORT_BEST	2	1	0	0	RMS	0	7.29e-05	3.6657576e-13
FLOAT	VECTOR	512	0	0	NEON	NOT_APPLICABLE	REPORT_BEST	4	1	0	0	RMS	0	6.954e-05	3.8928121e-13
FLOAT	VECTOR	512	0	0	NEON	NOT_APPLICABLE	REPORT_BEST	8	1	0	0	RMS	0	6.955e-05	4.2350253e-13
FLOAT	VECTOR	512	0	0	NEON	NOT_APPLICABLE	REPORT_BEST	8	2	0	0	RMS	0	0.00393417	1.9431601e-09
FLOAT	VECTOR	512	0	0	NEON	NOT_APPLICABLE	REPORT_BEST	8	4	0	0	RMS	0	0.00636089	1.3133679e-08
FLOAT	VECTOR	512	0	0	NEON	NOT_APPLICABLE	REPORT_BEST	8	8	0	0	RMS	0	0.01184873	1.4262417e-08
FLOAT	VECTOR	512	0	0	VDSP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	9.6783488e-09	0.0001157	3.597202e-12
FLOAT	VECTOR	512	0	0	BLAS	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	9.6783488e-09	6.836e-05	4.7550545e-13
FLOAT	VECTOR	512	0	0	METAL	DEFAULT	REPORT_BEST	1	1	1	512	RMS	9.6783488e-09	0.13339996	1.078822e-06
FLOAT	VECTOR	2048	0	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	0	0.00014291	4.2959788e-13
FLOAT	VECTOR	2048	0	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	2	0	0	RMS	0	0.00581417	4.2920731e-09
FLOAT	VECTOR	2048	0	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	4	0	0	RMS	0	0.00809501	6.3777665e-09
FLOAT	VECTOR	2048	0	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	8	0	0	RMS	0	0.01352207	1.2875296e-08
FLOAT	VECTOR	2048	0	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	16	0	0	RMS	0	0.02127504	1.2975476e-08
FLOAT	VECTOR	2048	0	0	CPP_INTERLEAVED	NOT_APPLICABLE	REPORT_BEST	1	2	0	0	RMS	0	0.00676121	5.4108717e-09
FLOAT	VECTOR	2048	0	0	CPP_INTERLEAVED	NOT_APPLICABLE	REPORT_BEST	1	4	0	0	RMS	0	0.00922877	9.7810001e-09
FLOAT	VECTOR	2048	0	0	CPP_INTERLEAVED	NOT_APPLICABLE	REPORT_BEST	1	8	0	0	RMS	0	0.01548878	1.2596215e-08
FLOAT	VECTOR	2048	0	0	CPP_INTERLEAVED	NOT_APPLICABLE	REPORT_BEST	1	16	0	0	RMS	0	0.02422503	1.6101182e-08
FLOAT	VECTOR	2048	0	0	NEON	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	0	0.00031138	1.7295107e-12
FLOAT	VECTOR	2048	0	0	NEON	NOT_APPLICABLE	REPORT_BEST	2	1	0	0	RMS	0	0.00027415	4.2673485e-13
FLOAT	VECTOR	2048	0	0	NEON	NOT_APPLICABLE	REPORT_BEST	4	1	0	0	RMS	0	0.00026163	3.8617485e-13
FLOAT	VECTOR	2048	0	0	NEON	NOT_APPLICABLE	REPORT_BEST	8	1	0	0	RMS	0	0.00025208	8.304404e-14
