data element type	data element subtype	vector length/matrix row	matrix columns	number of non zeros	implementation type	metal implementation type	configuration interpretation for charts	loop unrolling factor	num CPU threads	num groups per grid	num threads per group	test data verification type	vefirication value	mean time milliseconds	stddev milliseconds
FLOAT	VECTOR	32	0	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	DISTANCE	0	6.251e-05	4.6479788e-13
FLOAT	VECTOR	32	0	0	NEON	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	DISTANCE	1.1373173e-07	3.46e-05	2.4785859e-13
FLOAT	VECTOR	32	0	0	NEON	NOT_APPLICABLE	REPORT_BEST	2	1	0	0	DISTANCE	1.1373173e-07	2.919e-05	3.6900394e-13
FLOAT	VECTOR	32	0	0	NEON	NOT_APPLICABLE	REPORT_BEST	4	1	0	0	DISTANCE	1.1373173e-07	4.172e-05	1.0541576e-13
FLOAT	VECTOR	32	0	0	NEON	NOT_APPLICABLE	REPORT_BEST	8	1	0	0	DISTANCE	0	6.787e-05	4.0639707e-13
FLOAT	VECTOR	32	0	0	VDSP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	DISTANCE	1.1373173e-07	3.213e-05	3.1162939e-13
FLOAT	VECTOR	32	0	0	BLAS	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	DISTANCE	1.1373173e-07	3.664e-05	2.9033374e-13
FLOAT	VECTOR	32	0	0	METAL	TWO_PASS_DEVICE_MEMORY	REPORT_BEST	1	1	1	32	DISTANCE	1.1373173e-07	0.18678531	3.1040369e-07
FLOAT	VECTOR	32	0	0	METAL	TWO_PASS_SHARED_MEMORY	REPORT_BEST	1	1	1	32	DISTANCE	1.1373173e-07	0.16961369	7.8785829e-08
FLOAT	VECTOR	32	0	0	METAL	TWO_PASS_SIMD_SHUFFLE	REPORT_BEST	1	1	1	32	DISTANCE	1.1373173e-07	0.14398875	1.5682994e-06
FLOAT	VECTOR	32	0	0	METAL	TWO_PASS_SIMD_SUM	REPORT_BEST	1	1	1	32	DISTANCE	1.1373173e-07	0.13587707	3.2408808e-07
FLOAT	VECTOR	32	0	0	METAL	ONE_PASS_ATOMIC_SIMD_SHUFFLE	REPORT_BEST	1	1	1	32	DISTANCE	1.1373173e-07	0.12727541	1.2768379e-07
FLOAT	VECTOR	32	0	0	METAL	ONE_PASS_ATOMIC_SIMD_SUM	REPORT_BEST	1	1	1	32	DISTANCE	1.1373173e-07	0.13552918	7.8151405e-07
FLOAT	VECTOR	32	0	0	METAL	ONE_PASS_THREAD_COUNTER	REPORT_BEST	1	1	1	32	DISTANCE	1.1373173e-07	0.14572331	8.9698882e-08
FLOAT	VECTOR	128	0	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	DISTANCE	0	0.00012666	6.6812525e-14
FLOAT	VECTOR	128	0	0	NEON	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	DISTANCE	1.9661977e-07	3.843e-05	1.2988394e-13
FLOAT	VECTOR	128	0	0	NEON	NOT_APPLICABLE	REPORT_BEST	2	1	0	0	DISTANCE	1.9661977e-07	2.747e-05	3.9281727e-13
FLOAT	VECTOR	128	0	0	NEON	NOT_APPLICABLE	REPORT_BEST	4	1	0	0	DISTANCE	1.9661977e-07	2.747e-05	3.9281727e-13
FLOAT	VECTOR	128	0	0	NEON	NOT_APPLICABLE	REPORT_BEST	8	1	0	0	DISTANCE	1.9661977e-07	4.282e-05	5.0674343e-14
FLOAT	VECTOR	128	0	0	NEON	NOT_APPLICABLE	REPORT_BEST	8	2	0	0	DISTANCE	9.8309883e-08	0.00365879	1.8616879e-09
