data element type	data element subtype	vector length/matrix row	matrix columns	number of non zeros	implementation type	metal implementation type	configuration interpretation for charts	loop unrolling factor	num CPU threads	num groups per grid	num threads per group	test data verification type	vefirication value	mean time milliseconds	stddev milliseconds
FLOAT	VECTOR	32	0	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	DISTANCE	0	4.379e-05	1.8798576e-13
FLOAT	VECTOR	32	0	0	NEON	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	DISTANCE	1.7671594e-07	1.747e-05	4.2582737e-13
FLOAT	VECTOR	32	0	0	NEON	NOT_APPLICABLE	REPORT_BEST	2	1	0	0	DISTANCE	1.7671594e-07	1.543e-05	4.0956071e-13
FLOAT	VECTOR	32	0	0	NEON	NOT_APPLICABLE	REPORT_BEST	4	1	0	0	DISTANCE	1.7671594e-07	1.572e-05	4.0735515e-13
FLOAT	VECTOR	32	0	0	NEON	NOT_APPLICABLE	REPORT_BEST	8	1	0	0	DISTANCE	1.7671594e-07	2.044e-05	4.393398e-13
FLOAT	VECTOR	32	0	0	VDSP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	DISTANCE	1.7671594e-07	1.872e-05	4.3274909e-13
FLOAT	VECTOR	32	0	0	BLAS	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	DISTANCE	2.6507391e-07	2.044e-05	4.393398e-13
FLOAT	VECTOR	32	0	0	METAL	TWO_PASS_DEVICE_MEMORY	REPORT_BEST	1	1	1	32	DISTANCE	1.7671594e-07	0.36881671	1.2032198e-06
FLOAT	VECTOR	32	0	0	METAL	TWO_PASS_SHARED_MEMORY	REPORT_BEST	1	1	1	32	DISTANCE	1.7671594e-07	0.3879925	1.5536971e-06
FLOAT	VECTOR	32	0	0	METAL	TWO_PASS_SIMD_SHUFFLE	REPORT_BEST	1	1	1	32	DISTANCE	1.7671594e-07	0.43807965	2.4450691e-06
FLOAT	VECTOR	32	0	0	METAL	TWO_PASS_SIMD_SUM	REPORT_BEST	1	1	1	32	DISTANCE	2.6507391e-07	0.46540708	2.790375e-06
FLOAT	VECTOR	32	0	0	METAL	ONE_PASS_ATOMIC_SIMD_SHUFFLE	REPORT_BEST	1	1	1	32	DISTANCE	1.7671594e-07	0.53942163	1.0295434e-06
FLOAT	VECTOR	32	0	0	METAL	ONE_PASS_ATOMIC_SIMD_SUM	REPORT_BEST	1	1	1	32	DISTANCE	2.6507391e-07	0.55600369	1.3339407e-06
FLOAT	VECTOR	32	0	0	METAL	ONE_PASS_THREAD_COUNTER	REPORT_BEST	1	1	1	32	DISTANCE	1.7671594e-07	0.56593293	2.519672e-06
FLOAT	VECTOR	128	0	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	DISTANCE	0	0.00034502	3.5323192e-13
FLOAT	VECTOR	128	0	0	NEON	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	DISTANCE	2.9877538e-06	8.997e-05	3.7461525e-13
FLOAT	VECTOR	128	0	0	NEON	NOT_APPLICABLE	REPORT_BEST	2	1	0	0	DISTANCE	2.9877538e-06	7.003e-05	4.1600919e-13
FLOAT	VECTOR	128	0	0	NEON	NOT_APPLICABLE	REPORT_BEST	4	1	0	0	DISTANCE	2.9877538e-07	6.544e-05	4.6285495e-13
FLOAT	VECTOR	128	0	0	NEON	NOT_APPLICABLE	REPORT_BEST	8	1	0	0	DISTANCE	1.4938769e-06	6.866e-05	4.2986303e-13
FLOAT	VECTOR	128	0	0	NEON	NOT_APPLICABLE	REPORT_BEST	8	2	0	0	DISTANCE	2.390203e-06	0.03765168	9.6815563e-07
FLOAT	VECTOR	128	0	0	NEON	NOT_APPLICABLE	REPORT_BEST	8	4	0	0	DISTANCE	2.6889784e-06	0.04048165	5.2803447e-07
FLOAT	VECTOR	128	0	0	VDSP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	DISTANCE	5.9755075e-07	6.034e-05	6.7816606e-13
FLOAT	VECTOR	128	0	0	BLAS	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	DISTANCE	1.1951015e-06	8.045e-05	1.1283106e-12
FLOAT	VECTOR	128	0	0	METAL	TWO_PASS_DEVICE_MEMORY	REPORT_BEST	1	1	1	128	DISTANCE	1.7926523e-06	0.59436416	2.2687834e-06
FLOAT	VECTOR	128	0	0	METAL	TWO_PASS_SHARED_MEMORY	REPORT_BEST	1	1	1	128	DISTANCE	1.7926523e-06	0.57578167	2.5574863e-06
FLOAT	VECTOR	128	0	0	METAL	TWO_PASS_SIMD_SHUFFLE	REPORT_BEST	1	1	1	128	DISTANCE	1.7926523e-06	0.56856583	9.5592767e-07
FLOAT	VECTOR	128	0	0	METAL	TWO_PASS_SIMD_SUM	REPORT_BEST	1	1	1	128	DISTANCE	2.390203e-06	0.56948007	7.0214479e-07
FLOAT	VECTOR	128	0	0	METAL	ONE_PASS_ATOMIC_SIMD_SHUFFLE	REPORT_BEST	1	1	1	128	DISTANCE	1.7926523e-06	0.56894799	4.7799804e-07
FLOAT	VECTOR	128	0	0	METAL	ONE_PASS_ATOMIC_SIMD_SUM	REPORT_BEST	1	1	1	128	DISTANCE	2.390203e-06	0.5734754	1.0055772e-06
FLOAT	VECTOR	128	0	0	METAL	ONE_PASS_THREAD_COUNTER	REPORT_BEST	1	1	1	128	DISTANCE	1.7926523e-06	0.59823496	1.3750732e-06
FLOAT	VECTOR	512	0	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	DISTANCE	0	0.00225953	1.5652756e-10
FLOAT	VECTOR	512	0	0	NEON	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	DISTANCE	0	0.00046873	4.3545162e-13
FLOAT	VECTOR	512	0	0	NEON	NOT_APPLICABLE	REPORT_BEST	2	1	0	0	DISTANCE	1.4114667e-07	0.00027497	1.752191e-12
FLOAT	VECTOR	512	0	0	NEON	NOT_APPLICABLE	REPORT_BEST	4	1	0	0	DISTANCE	1.4114667e-07	0.000187	4.7387879e-13
FLOAT	VECTOR	512	0	0	NEON	NOT_APPLICABLE	REPORT_BEST	8	1	0	0	DISTANCE	1.4114667e-07	0.00019758	4.4149859e-13
FLOAT	VECTOR	512	0	0	NEON	NOT_APPLICABLE	REPORT_BEST	8	2	0	0	DISTANCE	1.4114667e-07	0.05545579	1.9071419e-06
FLOAT	VECTOR	512	0	0	NEON	NOT_APPLICABLE	REPORT_BEST	8	4	0	0	DISTANCE	1.4114667e-07	0.05541498	9.8127025e-07
FLOAT	VECTOR	512	0	0	NEON	NOT_APPLICABLE	REPORT_BEST	8	8	0	0	DISTANCE	1.4114667e-07	0.06410915	7.0679267e-07
FLOAT	VECTOR	512	0	0	VDSP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	DISTANCE	7.0573336e-08	0.0001116	3.8545455e-13
FLOAT	VECTOR	512	0	0	BLAS	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	DISTANCE	7.0573336e-08	0.00015086	4.5167677e-11
FLOAT	VECTOR	512	0	0	METAL	TWO_PASS_DEVICE_MEMORY	REPORT_BEST	1	1	1	512	DISTANCE	1.4114667e-07	0.5910917	1.4848609e-06
FLOAT	VECTOR	512	0	0	METAL	TWO_PASS_SHARED_MEMORY	REPORT_BEST	1	1	1	512	DISTANCE	1.4114667e-07	0.56790415	7.3466614e-07
FLOAT	VECTOR	512	0	0	METAL	TWO_PASS_SIMD_SHUFFLE	REPORT_BEST	1	1	1	512	DISTANCE	1.4114667e-07	0.57083416	8.648577e-07
FLOAT	VECTOR	512	0	0	METAL	TWO_PASS_SIMD_SUM	REPORT_BEST	1	1	1	512	DISTANCE	7.0573336e-08	0.57371919	6.7392258e-07
FLOAT	VECTOR	512	0	0	METAL	ONE_PASS_ATOMIC_SIMD_SHUFFLE	REPORT_BEST	1	1	1	512	DISTANCE	1.4114667e-07	0.57324042	4.8821645e-07
FLOAT	VECTOR	512	0	0	METAL	ONE_PASS_ATOMIC_SIMD_SUM	REPORT_BEST	1	1	1	512	DISTANCE	7.0573336e-08	0.60266701	1.8554306e-06
FLOAT	VECTOR	512	0	0	METAL	ONE_PASS_THREAD_COUNTER	REPORT_BEST	1	1	1	512	DISTANCE	1.4114667e-07	0.62315616	1.7736505e-06
FLOAT	VECTOR	2048	0	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	DISTANCE	0	0.01034414	1.0983839e-09
FLOAT	VECTOR	2048	0	0	NEON	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	DISTANCE	1.6165571e-06	0.00271753	4.4855421e-10
FLOAT	VECTOR	2048	0	0	NEON	NOT_APPLICABLE	REPORT_BEST	2	1	0	0	DISTANCE	1.6165571e-06	0.00091334	4.4495394e-13
