data element type	data element subtype	vector length/matrix row	matrix columns	number of non zeros	implementation type	metal implementation type	configuration interpretation for charts	loop unrolling factor	num CPU threads	num groups per grid	num threads per group	test data verification type	vefirication value	mean time milliseconds	stddev milliseconds
INT	VECTOR	32	0	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	DISTANCE	0	2.417e-05	4.6222333e-13
INT	VECTOR	32	0	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	2	1	0	0	DISTANCE	0	2.538e-05	4.5092485e-13
INT	VECTOR	32	0	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	4	1	0	0	DISTANCE	0	2.458e-05	4.2422586e-13
INT	VECTOR	32	0	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	8	1	0	0	DISTANCE	0	2.626e-05	4.4486101e-13
INT	VECTOR	32	0	0	CPP_STDLIB	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	DISTANCE	0	2.498e-05	4.5513091e-13
INT	VECTOR	32	0	0	METAL	SCAN_THEN_FAN	REPORT_BEST	1	1	1	32	DISTANCE	0	0.17753081	1.2903146e-06
INT	VECTOR	32	0	0	METAL	REDUCE_THEN_SCAN	REPORT_BEST	1	1	1	32	DISTANCE	0	0.16943373	3.7255348e-07
INT	VECTOR	32	0	0	METAL	MERRILL_AND_GRIMSHAW	REPORT_BEST	1	1	64	1024	DISTANCE	0	0.1828146	2.7207297e-07
INT	VECTOR	32	0	0	METAL	MERRILL_AND_GRIMSHAW	REPORT_BEST	1	1	1024	1024	DISTANCE	0	0.1621825	8.4156808e-07
INT	VECTOR	128	0	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	DISTANCE	0	6.917e-05	4.2919303e-13
INT	VECTOR	128	0	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	2	1	0	0	DISTANCE	0	6.131e-05	4.7142818e-13
INT	VECTOR	128	0	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	4	1	0	0	DISTANCE	0	4.46e-05	1.1484848e-13
INT	VECTOR	128	0	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	8	1	0	0	DISTANCE	0	7.045e-05	3.7507828e-13
INT	VECTOR	128	0	0	CPP_STDLIB	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	DISTANCE	0	5.589e-05	3.9436152e-13
INT	VECTOR	128	0	0	METAL	SCAN_THEN_FAN	REPORT_BEST	1	1	1	128	DISTANCE	0	0.13345669	8.1733657e-08
INT	VECTOR	128	0	0	METAL	REDUCE_THEN_SCAN	REPORT_BEST	1	1	1	128	DISTANCE	0	0.13625743	6.2935534e-07
INT	VECTOR	128	0	0	METAL	MERRILL_AND_GRIMSHAW	REPORT_BEST	1	1	64	1024	DISTANCE	0	0.16448456	2.399896e-07
INT	VECTOR	128	0	0	METAL	MERRILL_AND_GRIMSHAW	REPORT_BEST	1	1	1024	1024	DISTANCE	0	0.17664995	8.6477845e-07
INT	VECTOR	512	0	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	DISTANCE	0	0.00019543	4.4582333e-13
INT	VECTOR	512	0	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	2	1	0	0	DISTANCE	0	0.00017621	3.4580394e-13
INT	VECTOR	512	0	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	4	1	0	0	DISTANCE	0	0.00014123	4.162597e-13
INT	VECTOR	512	0	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	8	1	0	0	DISTANCE	0	0.00020929	3.441e-14
INT	VECTOR	512	0	0	CPP_STDLIB	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	DISTANCE	0	0.00020047	3.7675667e-13
INT	VECTOR	512	0	0	METAL	SCAN_THEN_FAN	REPORT_BEST	1	1	1	512	DISTANCE	0	0.14735998	1.9219392e-07
INT	VECTOR	512	0	0	METAL	REDUCE_THEN_SCAN	REPORT_BEST	1	1	1	512	DISTANCE	0	0.14670174	9.0788634e-07
INT	VECTOR	512	0	0	METAL	MERRILL_AND_GRIMSHAW	REPORT_BEST	1	1	64	1024	DISTANCE	0	0.17725585	2.1196627e-07
INT	VECTOR	512	0	0	METAL	MERRILL_AND_GRIMSHAW	REPORT_BEST	1	1	1024	1024	DISTANCE	0	0.18087744	1.5426896e-06
