data element type	data element subtype	vector length/matrix row	matrix columns	number of non zeros	implementation type	metal implementation type	configuration interpretation for charts	loop unrolling factor	num CPU threads	num groups per grid	num threads per group	test data verification type	vefirication value	mean time milliseconds	stddev milliseconds
INT	VECTOR	32	0	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	DISTANCE	0	2.079e-05	4.7234939e-13
INT	VECTOR	32	0	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	2	1	0	0	DISTANCE	0	2.337e-05	4.3356879e-13
INT	VECTOR	32	0	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	4	1	0	0	DISTANCE	0	2.002e-05	4.3868646e-13
INT	VECTOR	32	0	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	8	1	0	0	DISTANCE	0	2.54e-05	4.5157576e-13
INT	VECTOR	32	0	0	CPP_STDLIB	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	DISTANCE	0	1.711e-05	4.6040192e-13
INT	VECTOR	32	0	0	METAL	SCAN_THEN_FAN	REPORT_BEST	1	1	1	32	DISTANCE	0	0.34710037	1.8143909e-06
INT	VECTOR	32	0	0	METAL	REDUCE_THEN_SCAN	REPORT_BEST	1	1	1	32	DISTANCE	0	0.3575779	2.2882192e-06
INT	VECTOR	32	0	0	METAL	MERRILL_AND_GRIMSHAW	REPORT_BEST	1	1	64	512	DISTANCE	0	0.39837787	6.5108079e-06
INT	VECTOR	32	0	0	METAL	MERRILL_AND_GRIMSHAW	REPORT_BEST	1	1	1024	512	DISTANCE	0	0.5097896	0.00016246446
INT	VECTOR	128	0	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	DISTANCE	0	0.00010414	7.2052566e-13
INT	VECTOR	128	0	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	2	1	0	0	DISTANCE	0	7.671e-05	4.1271303e-13
INT	VECTOR	128	0	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	4	1	0	0	DISTANCE	0	0.00010907	2.1632613e-10
INT	VECTOR	128	0	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	8	1	0	0	DISTANCE	0	0.0001	6.3230303e-13
INT	VECTOR	128	0	0	CPP_STDLIB	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	DISTANCE	0	8.831e-05	4.3169081e-13
INT	VECTOR	128	0	0	METAL	SCAN_THEN_FAN	REPORT_BEST	1	1	1	128	DISTANCE	0	0.52619622	2.9592501e-06
INT	VECTOR	128	0	0	METAL	REDUCE_THEN_SCAN	REPORT_BEST	1	1	1	128	DISTANCE	0	0.53275128	2.4946434e-06
