data element type	data element subtype	vector length/matrix row	matrix columns	number of non zeros	implementation type	metal implementation type	configuration interpretation for charts	loop unrolling factor	num CPU threads	num groups per grid	num threads per group	test data verification type	vefirication value	mean time milliseconds	stddev milliseconds
FLOAT	ARRAY_OF_STRUCTURES	32	0	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	TRUE_FALSE	TRUE	0.0100292	1.3618707e-10
FLOAT	STRUCTURE_OF_ARRAYS	32	0	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	TRUE_FALSE	TRUE	0.0072666	4.5937778e-13
FLOAT	STRUCTURE_OF_ARRAYS	32	0	0	NEON	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	TRUE_FALSE	TRUE	0.0037958	1.7951733e-11
FLOAT	STRUCTURE_OF_ARRAYS	32	0	0	NEON	NOT_APPLICABLE	REPORT_BEST	2	1	0	0	TRUE_FALSE	TRUE	0.0038169	1.5869878e-11
FLOAT	STRUCTURE_OF_ARRAYS	32	0	0	NEON	NOT_APPLICABLE	REPORT_BEST	4	1	0	0	TRUE_FALSE	TRUE	0.003721	2.5499333e-11
FLOAT	STRUCTURE_OF_ARRAYS	32	0	0	NEON	NOT_APPLICABLE	REPORT_BEST	8	1	0	0	TRUE_FALSE	TRUE	0.0037168	5.7199556e-12
FLOAT	STRUCTURE_OF_ARRAYS	32	0	0	NEON	NOT_APPLICABLE	REPORT_BEST	1	2	0	0	TRUE_FALSE	TRUE	0.0156582	1.0243803e-07
FLOAT	STRUCTURE_OF_ARRAYS	32	0	0	NEON	NOT_APPLICABLE	REPORT_BEST	1	4	0	0	TRUE_FALSE	TRUE	0.0284294	2.4091443e-07
FLOAT	STRUCTURE_OF_ARRAYS	32	0	0	NEON	NOT_APPLICABLE	REPORT_BEST	1	8	0	0	TRUE_FALSE	TRUE	0.041971	1.2873472e-07
FLOAT	ARRAY_OF_STRUCTURES	32	0	0	METAL	DEFAULT	REPORT_BEST	1	1	1	32	TRUE_FALSE	TRUE	0.2070293	3.1161054e-07
FLOAT	ARRAY_OF_STRUCTURES	64	0	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	TRUE_FALSE	TRUE	0.040629	6.3601333e-11
FLOAT	STRUCTURE_OF_ARRAYS	64	0	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	TRUE_FALSE	TRUE	0.0294166	5.4044889e-12
FLOAT	STRUCTURE_OF_ARRAYS	64	0	0	NEON	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	TRUE_FALSE	TRUE	0.0136542	1.631624e-10
FLOAT	STRUCTURE_OF_ARRAYS	64	0	0	NEON	NOT_APPLICABLE	REPORT_BEST	2	1	0	0	TRUE_FALSE	TRUE	0.0135334	1.2530071e-10
FLOAT	STRUCTURE_OF_ARRAYS	64	0	0	NEON	NOT_APPLICABLE	REPORT_BEST	4	1	0	0	TRUE_FALSE	TRUE	0.0135541	7.5218767e-11
