data element type	data element subtype	vector length/matrix row	matrix columns	number of non zeros	implementation type	metal implementation type	configuration interpretation for charts	loop unrolling factor	num CPU threads	num groups per grid	num threads per group	test data verification type	vefirication value	mean time milliseconds	stddev milliseconds
FLOAT	MATRIX_ROW_MAJOR	64	64	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	0	0.0565084	3.73811e-09
FLOAT	MATRIX_ROW_MAJOR	64	64	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	2	0	0	RMS	0	0.0395957	2.727644e-08
FLOAT	MATRIX_ROW_MAJOR	64	64	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	4	0	0	RMS	0	0.0432957	1.599746e-09
FLOAT	MATRIX_ROW_MAJOR	64	64	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	8	0	0	RMS	0	0.0451666	6.6478895e-08
FLOAT	MATRIX_ROW_MAJOR	64	64	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	16	0	0	RMS	0	0.0688584	1.5486035e-07
FLOAT	MATRIX_ROW_MAJOR	64	64	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	32	0	0	RMS	0	0.1095793	7.3373382e-08
FLOAT	MATRIX_ROW_MAJOR	64	64	0	CIIMAGE_GPU	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	0.0014126717	0.6729877	1.931022e-05
FLOAT	MATRIX_ROW_MAJOR	64	64	0	CIIMAGE_CPU	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	0.0014126717	0.5963999	1.0832311e-06
FLOAT	MATRIX_ROW_MAJOR	64	64	0	METAL	NAIVE	REPORT_BEST	1	1	1024	1024	RMS	0	0.169425	5.766038e-08
FLOAT	MATRIX_ROW_MAJOR	64	64	0	METAL	TWO_STAGES	REPORT_BEST	1	1	1024	1024	RMS	1.9657717e-07	0.1801623	1.4610153e-07
FLOAT	MATRIX_ROW_MAJOR	64	64	0	METAL	MPS	REPORT_BEST	1	1	1024	1024	RMS	1.507946e-07	0.2004251	2.0230984e-06
FLOAT	MATRIX_ROW_MAJOR	128	128	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	0	0.2659168	1.5101956e-11
FLOAT	MATRIX_ROW_MAJOR	128	128	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	2	0	0	RMS	0	0.1422584	3.9633229e-09
FLOAT	MATRIX_ROW_MAJOR	128	128	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	4	0	0	RMS	0	0.0972792	1.4089494e-07
FLOAT	MATRIX_ROW_MAJOR	128	128	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	8	0	0	RMS	0	0.0909667	1.8496799e-08
