data element type	data element subtype	vector length/matrix row	matrix columns	number of non zeros	implementation type	metal implementation type	configuration interpretation for charts	loop unrolling factor	num CPU threads	num groups per grid	num threads per group	test data verification type	vefirication value	mean time milliseconds	stddev milliseconds
FLOAT	MATRIX_ROW_MAJOR	64	64	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	0	0.045458	nan
FLOAT	MATRIX_ROW_MAJOR	64	64	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	2	0	0	RMS	0	0.035916	nan
FLOAT	MATRIX_ROW_MAJOR	64	64	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	4	0	0	RMS	0	0.041416	nan
FLOAT	MATRIX_ROW_MAJOR	64	64	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	8	0	0	RMS	0	0.039333	nan
FLOAT	MATRIX_ROW_MAJOR	64	64	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	16	0	0	RMS	0	0.05775	nan
FLOAT	MATRIX_ROW_MAJOR	64	64	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	32	0	0	RMS	0	0.077958	nan
FLOAT	MATRIX_ROW_MAJOR	64	64	0	CIIMAGE_GPU	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	0.0012036679	0.869917	nan
FLOAT	MATRIX_ROW_MAJOR	64	64	0	CIIMAGE_CPU	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	0.0012036679	0.667083	nan
FLOAT	MATRIX_ROW_MAJOR	64	64	0	METAL	NAIVE	REPORT_BEST	1	1	1024	1024	RMS	0	0.360917	nan
FLOAT	MATRIX_ROW_MAJOR	64	64	0	METAL	TWO_STAGES	REPORT_BEST	1	1	1024	1024	RMS	1.9684086e-07	0.388084	nan
FLOAT	MATRIX_ROW_MAJOR	64	64	0	METAL	MPS	REPORT_BEST	1	1	1024	1024	RMS	1.4904028e-07	0.397708	nan
FLOAT	MATRIX_ROW_MAJOR	128	128	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	0	0.185625	nan
FLOAT	MATRIX_ROW_MAJOR	128	128	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	2	0	0	RMS	0	0.098083	nan
FLOAT	MATRIX_ROW_MAJOR	128	128	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	4	0	0	RMS	0	0.111875	nan
FLOAT	MATRIX_ROW_MAJOR	128	128	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	8	0	0	RMS	0	0.123417	nan
FLOAT	MATRIX_ROW_MAJOR	128	128	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	16	0	0	RMS	0	0.128084	nan
FLOAT	MATRIX_ROW_MAJOR	128	128	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	32	0	0	RMS	0	0.128875	nan
FLOAT	MATRIX_ROW_MAJOR	128	128	0	CIIMAGE_GPU	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	0.0012852948	0.767666	nan
FLOAT	MATRIX_ROW_MAJOR	128	128	0	CIIMAGE_CPU	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	0.0012852948	0.704917	nan
FLOAT	MATRIX_ROW_MAJOR	128	128	0	METAL	NAIVE	REPORT_BEST	1	1	1024	1024	RMS	0	0.404042	nan
FLOAT	MATRIX_ROW_MAJOR	128	128	0	METAL	TWO_STAGES	REPORT_BEST	1	1	1024	1024	RMS	1.9443705e-07	0.386292	nan
FLOAT	MATRIX_ROW_MAJOR	128	128	0	METAL	MPS	REPORT_BEST	1	1	1024	1024	RMS	1.4528505e-07	0.4005	nan
FLOAT	MATRIX_ROW_MAJOR	256	256	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	0	0.736208	nan
FLOAT	MATRIX_ROW_MAJOR	256	256	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	2	0	0	RMS	0	0.388791	nan
FLOAT	MATRIX_ROW_MAJOR	256	256	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	4	0	0	RMS	0	0.347792	nan
FLOAT	MATRIX_ROW_MAJOR	256	256	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	8	0	0	RMS	0	0.337917	nan
FLOAT	MATRIX_ROW_MAJOR	256	256	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	16	0	0	RMS	0	0.301625	nan
FLOAT	MATRIX_ROW_MAJOR	256	256	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	32	0	0	RMS	0	0.339084	nan
FLOAT	MATRIX_ROW_MAJOR	256	256	0	CIIMAGE_GPU	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	0.0012564263	0.82575	nan
FLOAT	MATRIX_ROW_MAJOR	256	256	0	CIIMAGE_CPU	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	0.0012564263	0.796916	nan
FLOAT	MATRIX_ROW_MAJOR	256	256	0	METAL	NAIVE	REPORT_BEST	1	1	1024	1024	RMS	0	0.488	nan
FLOAT	MATRIX_ROW_MAJOR	256	256	0	METAL	TWO_STAGES	REPORT_BEST	1	1	1024	1024	RMS	1.9115533e-07	0.508959	nan
FLOAT	MATRIX_ROW_MAJOR	256	256	0	METAL	MPS	REPORT_BEST	1	1	1024	1024	RMS	1.4756412e-07	0.399542	nan
FLOAT	MATRIX_ROW_MAJOR	512	512	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	0	2.937042	nan
FLOAT	MATRIX_ROW_MAJOR	512	512	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	2	0	0	RMS	0	1.510625	nan
FLOAT	MATRIX_ROW_MAJOR	512	512	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	4	0	0	RMS	0	1.284541	nan
FLOAT	MATRIX_ROW_MAJOR	512	512	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	8	0	0	RMS	0	1.065417	nan
FLOAT	MATRIX_ROW_MAJOR	512	512	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	16	0	0	RMS	0	1.049917	nan
FLOAT	MATRIX_ROW_MAJOR	512	512	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	32	0	0	RMS	0	1.057	nan
FLOAT	MATRIX_ROW_MAJOR	512	512	0	CIIMAGE_GPU	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	0.0012456935	1.154584	nan
FLOAT	MATRIX_ROW_MAJOR	512	512	0	CIIMAGE_CPU	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	0.0012456935	0.993458	nan
FLOAT	MATRIX_ROW_MAJOR	512	512	0	METAL	NAIVE	REPORT_BEST	1	1	1024	1024	RMS	0	0.781167	nan
FLOAT	MATRIX_ROW_MAJOR	512	512	0	METAL	TWO_STAGES	REPORT_BEST	1	1	1024	1024	RMS	1.8584997e-07	0.621167	nan
FLOAT	MATRIX_ROW_MAJOR	512	512	0	METAL	MPS	REPORT_BEST	1	1	1024	1024	RMS	1.3959821e-07	0.489458	nan
FLOAT	MATRIX_ROW_MAJOR	1024	1024	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	0	11.742125	nan
FLOAT	MATRIX_ROW_MAJOR	1024	1024	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	2	0	0	RMS	0	6.008041	nan
