data element type	data element subtype	vector length/matrix row	matrix columns	number of non zeros	implementation type	metal implementation type	configuration interpretation for charts	loop unrolling factor	num CPU threads	num groups per grid	num threads per group	test data verification type	vefirication value	mean time milliseconds	stddev milliseconds
FLOAT	MATRIX_SPARSE	256	256	6553	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	0	0.0044333	3.9426778e-12
FLOAT	MATRIX_SPARSE	256	256	6553	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	2	0	0	RMS	0	0.0071043	5.1450401e-10
FLOAT	MATRIX_SPARSE	256	256	6553	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	4	0	0	RMS	0	0.0126625	2.8705276e-08
FLOAT	MATRIX_SPARSE	256	256	6553	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	8	0	0	RMS	0	0.0252626	2.0363418e-07
FLOAT	MATRIX_SPARSE	256	256	6553	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	16	0	0	RMS	0	0.0446042	1.2011156e-07
FLOAT	MATRIX_SPARSE	256	256	6553	BLAS	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	0	0.0039501	2.5730322e-11
FLOAT	MATRIX_SPARSE	256	256	6553	METAL	NAIVE	REPORT_BEST	1	1	1	1	RMS	1.3228834e-07	0.1782542	8.0359608e-07
FLOAT	MATRIX_SPARSE	256	256	6553	METAL	ADAPTIVE	REPORT_BEST	1	1	1	1	RMS	1.6754171e-07	0.1284625	4.04001e-08
FLOAT	MATRIX_SPARSE	512	512	26214	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	0	0.0181376	5.4399378e-11
FLOAT	MATRIX_SPARSE	512	512	26214	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	2	0	0	RMS	0	0.0158	2.244583e-08
FLOAT	MATRIX_SPARSE	512	512	26214	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	4	0	0	RMS	0	0.0196583	2.8076101e-08
FLOAT	MATRIX_SPARSE	512	512	26214	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	8	0	0	RMS	0	0.0219209	4.2646775e-08
FLOAT	MATRIX_SPARSE	512	512	26214	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	16	0	0	RMS	0	0.0367249	7.9670201e-08
FLOAT	MATRIX_SPARSE	512	512	26214	BLAS	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	0	0.0173042	4.9015511e-11
FLOAT	MATRIX_SPARSE	512	512	26214	METAL	NAIVE	REPORT_BEST	1	1	1	1	RMS	2.5934359e-07	0.3206834	6.573141e-06
FLOAT	MATRIX_SPARSE	512	512	26214	METAL	ADAPTIVE	REPORT_BEST	1	1	1	1	RMS	3.3227007e-07	0.1746166	1.5337988e-07
FLOAT	MATRIX_SPARSE	1024	1024	104857	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	0	0.0792083	3.39569e-11
FLOAT	MATRIX_SPARSE	1024	1024	104857	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	2	0	0	RMS	0	0.0634916	1.1641152e-07
FLOAT	MATRIX_SPARSE	1024	1024	104857	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	4	0	0	RMS	0	0.060975	2.0158481e-07
FLOAT	MATRIX_SPARSE	1024	1024	104857	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	8	0	0	RMS	0	0.0667291	3.34471e-08
FLOAT	MATRIX_SPARSE	1024	1024	104857	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	16	0	0	RMS	0	0.0807083	2.3539696e-07
FLOAT	MATRIX_SPARSE	1024	1024	104857	BLAS	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	0	0.0951917	4.1889767e-07
FLOAT	MATRIX_SPARSE	1024	1024	104857	METAL	NAIVE	REPORT_BEST	1	1	1	1	RMS	4.9377953e-07	0.6203249	2.7902156e-08
FLOAT	MATRIX_SPARSE	1024	1024	104857	METAL	ADAPTIVE	REPORT_BEST	1	1	1	1	RMS	6.9624929e-07	0.2222291	9.5332001e-08
FLOAT	MATRIX_SPARSE	2048	2048	419430	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	0	0.34905	1.1065111e-11
FLOAT	MATRIX_SPARSE	2048	2048	419430	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	2	0	0	RMS	0	0.2003169	7.4483416e-08
FLOAT	MATRIX_SPARSE	2048	2048	419430	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	4	0	0	RMS	0	0.138425	2.4616955e-07
FLOAT	MATRIX_SPARSE	2048	2048	419430	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	8	0	0	RMS	0	0.1251751	2.582139e-07
FLOAT	MATRIX_SPARSE	2048	2048	419430	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	16	0	0	RMS	0	0.136696	2.145518e-07
FLOAT	MATRIX_SPARSE	2048	2048	419430	BLAS	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	0	0.1927793	3.7245874e-07
FLOAT	MATRIX_SPARSE	2048	2048	419430	METAL	NAIVE	REPORT_BEST	1	1	1	1	RMS	7.2567771e-07	1.1351666	1.9708743e-07
FLOAT	MATRIX_SPARSE	2048	2048	419430	METAL	ADAPTIVE	REPORT_BEST	1	1	1	1	RMS	1.2415895e-06	0.4139586	2.5159571e-07
FLOAT	MATRIX_SPARSE	4096	4096	1677721	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	0	1.4849207	9.2144158e-09
FLOAT	MATRIX_SPARSE	4096	4096	1677721	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	2	0	0	RMS	0	0.7944041	2.4536598e-08
FLOAT	MATRIX_SPARSE	4096	4096	1677721	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	4	0	0	RMS	0	0.4474374	1.1596636e-07
FLOAT	MATRIX_SPARSE	4096	4096	1677721	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	8	0	0	RMS	0	0.355971	1.5513764e-07
FLOAT	MATRIX_SPARSE	4096	4096	1677721	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	16	0	0	RMS	0	0.4197916	1.7343789e-06
FLOAT	MATRIX_SPARSE	4096	4096	1677721	BLAS	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	0	0.6153836	5.5833675e-07
FLOAT	MATRIX_SPARSE	4096	4096	1677721	METAL	NAIVE	REPORT_BEST	1	1	1	1	RMS	1.2190059e-06	2.415804	1.3492023e-06
FLOAT	MATRIX_SPARSE	4096	4096	1677721	METAL	ADAPTIVE	REPORT_BEST	1	1	1	1	RMS	2.4253719e-06	1.5171001	3.0324055e-06
FLOAT	MATRIX_SPARSE	8192	8192	6710886	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	0	6.1168001	1.0089577e-06
FLOAT	MATRIX_SPARSE	8192	8192	6710886	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	2	0	0	RMS	0	3.2058209	1.3776295e-06
FLOAT	MATRIX_SPARSE	8192	8192	6710886	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	4	0	0	RMS	0	1.8073	3.5312829e-05
FLOAT	MATRIX_SPARSE	8192	8192	6710886	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	8	0	0	RMS	0	1.2760209	1.4001077e-05
FLOAT	MATRIX_SPARSE	8192	8192	6710886	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	16	0	0	RMS	0	1.3175127	9.1161348e-06
FLOAT	MATRIX_SPARSE	8192	8192	6710886	BLAS	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	0	1.75125	2.0994055e-06
FLOAT	MATRIX_SPARSE	8192	8192	6710886	METAL	NAIVE	REPORT_BEST	1	1	1	1	RMS	2.0435519e-06	9.9294206	0.00024914769
FLOAT	MATRIX_SPARSE	8192	8192	6710886	METAL	ADAPTIVE	REPORT_BEST	1	1	1	1	RMS	4.904294e-06	4.8558042	3.0956569e-05
FLOAT	MATRIX_SPARSE	16384	16384	26843546	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	0	24.867662	5.4389128e-06
FLOAT	MATRIX_SPARSE	16384	16384	26843546	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	2	0	0	RMS	0	12.908913	6.9819104e-06
FLOAT	MATRIX_SPARSE	16384	16384	26843546	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	4	0	0	RMS	0	7.0803752	0.00052175842
