data element type	data element subtype	vector length/matrix row	matrix columns	number of non zeros	implementation type	metal implementation type	configuration interpretation for charts	loop unrolling factor	num CPU threads	num groups per grid	num threads per group	test data verification type	vefirication value	mean time milliseconds	stddev milliseconds
FLOAT	MATRIX_COL_MAJOR	64	64	0	CPP_SUBMATRIX_CHOLESKY	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	0	0.0218292	6.250784e-10
FLOAT	MATRIX_COL_MAJOR	64	64	0	CPP_COLUMN_CHOLESKY	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	2.0358408e-07	0.0238668	4.8472173e-10
FLOAT	MATRIX_COL_MAJOR	64	64	0	EIGEN3	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	2.1792981e-10	0.0136543	1.0426096e-09
FLOAT	MATRIX_COL_MAJOR	64	64	0	LAPACK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	9.4441128e-11	0.0036666	8.71976e-11
FLOAT	MATRIX_COL_MAJOR	64	64	0	LAPACK_WITH_MAT_INVERSE	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	5.3762844e-09	0.0107	3.0456051e-09
FLOAT	MATRIX_COL_MAJOR	64	64	0	METAL	MPS	REPORT_BEST	1	1	1	1	RMS	2.7727667e-10	1.334775	4.5267341e-07
FLOAT	MATRIX_COL_MAJOR	64	64	0	METAL	DEFAULT	REPORT_BEST	1	1	1	1	RMS	1.1771019e-10	1.1270125	1.9045304e-07

FLOAT	MATRIX_COL_MAJOR	128	128	0	CPP_SUBMATRIX_CHOLESKY	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	0	0.1914043	6.8339881e-08
FLOAT	MATRIX_COL_MAJOR	128	128	0	CPP_COLUMN_CHOLESKY	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	4.3373817e-08	0.1700207	7.2700565e-09
FLOAT	MATRIX_COL_MAJOR	128	128	0	EIGEN3	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	1.1591769e-10	0.0719667	4.4094687e-09
FLOAT	MATRIX_COL_MAJOR	128	128	0	LAPACK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	9.0543984e-11	0.0209167	1.1982718e-09
FLOAT	MATRIX_COL_MAJOR	128	128	0	LAPACK_WITH_MAT_INVERSE	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	3.1685168e-09	0.0505665	1.8289488e-08
FLOAT	MATRIX_COL_MAJOR	128	128	0	METAL	MPS	REPORT_BEST	1	1	1	1	RMS	1.4139831e-10	3.1417583	4.1319645e-05
FLOAT	MATRIX_COL_MAJOR	128	128	0	METAL	DEFAULT	REPORT_BEST	1	1	1	1	RMS	6.8447503e-11	2.058475	5.6635365e-05

FLOAT	MATRIX_COL_MAJOR	256	256	0	CPP_SUBMATRIX_CHOLESKY	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	0	0.7776956	2.5743349e-08
FLOAT	MATRIX_COL_MAJOR	256	256	0	CPP_COLUMN_CHOLESKY	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	5.1148733e-09	0.6716875	2.9645535e-08
FLOAT	MATRIX_COL_MAJOR	256	256	0	EIGEN3	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	6.4733706e-11	0.2506999	1.3830782e-07
FLOAT	MATRIX_COL_MAJOR	256	256	0	LAPACK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	7.830026e-11	0.0481458	2.3255511e-11
FLOAT	MATRIX_COL_MAJOR	256	256	0	LAPACK_WITH_MAT_INVERSE	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	2.1355487e-09	0.1374917	5.3532045e-09
FLOAT	MATRIX_COL_MAJOR	256	256	0	METAL	MPS	REPORT_BEST	1	1	1	1	RMS	6.3591746e-11	6.6995874	2.4289568e-05
FLOAT	MATRIX_COL_MAJOR	256	256	0	METAL	DEFAULT	REPORT_BEST	1	1	1	1	RMS	2.1429668e-11	5.8290541	9.8301704e-06

FLOAT	MATRIX_COL_MAJOR	512	512	0	CPP_SUBMATRIX_CHOLESKY	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	0	2.9851791	2.4284037e-08
FLOAT	MATRIX_COL_MAJOR	512	512	0	CPP_COLUMN_CHOLESKY	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	1.056421e-09	3.0170375	1.3055842e-07
FLOAT	MATRIX_COL_MAJOR	512	512	0	EIGEN3	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	3.9584089e-11	0.9178501	3.494983e-07
FLOAT	MATRIX_COL_MAJOR	512	512	0	LAPACK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	4.6012413e-11	0.1484916	3.729156e-10
FLOAT	MATRIX_COL_MAJOR	512	512	0	LAPACK_WITH_MAT_INVERSE	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	1.8227588e-09	0.5877875	1.9362016e-09
FLOAT	MATRIX_COL_MAJOR	512	512	0	METAL	MPS	REPORT_BEST	1	1	1	1	RMS	3.9585467e-11	32.043396	3.6042056e-05
FLOAT	MATRIX_COL_MAJOR	512	512	0	METAL	DEFAULT	REPORT_BEST	1	1	1	1	RMS	7.5817946e-12	20.707467	9.6316097e-06

FLOAT	MATRIX_COL_MAJOR	1024	1024	0	CPP_SUBMATRIX_CHOLESKY	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	0	21.541917	1.6380772e-06
FLOAT	MATRIX_COL_MAJOR	1024	1024	0	CPP_COLUMN_CHOLESKY	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	8.3365415e-11	21.164325	1.1988938e-07
FLOAT	MATRIX_COL_MAJOR	1024	1024	0	EIGEN3	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	4.8938725e-11	6.43925	9.6842491e-07
FLOAT	MATRIX_COL_MAJOR	1024	1024	0	LAPACK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	4.9070414e-11	0.8324957	6.5953677e-07
FLOAT	MATRIX_COL_MAJOR	1024	1024	0	LAPACK_WITH_MAT_INVERSE	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	1.9389633e-09	4.5255504	1.117942e-05
FLOAT	MATRIX_COL_MAJOR	1024	1024	0	METAL	MPS	REPORT_BEST	1	1	1	1	RMS	4.8635378e-11	147.91922	0.00039298551
