data element type	data element subtype	vector length/matrix row	matrix columns	number of non zeros	implementation type	metal implementation type	configuration interpretation for charts	loop unrolling factor	num CPU threads	num groups per grid	num threads per group	test data verification type	vefirication value	mean time milliseconds	stddev milliseconds
FLOAT	MATRIX_COL_MAJOR	64	64	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	0	0.0277543	9.5023333e-13
FLOAT	MATRIX_COL_MAJOR	64	64	0	NEON	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	1.4840819e-09	0.0069791	8.7743333e-13
FLOAT	MATRIX_COL_MAJOR	64	64	0	NEON	NOT_APPLICABLE	REPORT_BEST	2	1	0	0	RMS	1.4840819e-09	0.0042959	2.1114333e-12
FLOAT	MATRIX_COL_MAJOR	64	64	0	NEON	NOT_APPLICABLE	REPORT_BEST	4	1	0	0	RMS	1.4840819e-09	0.0034456	8.0004444e-13
FLOAT	MATRIX_COL_MAJOR	64	64	0	NEON	NOT_APPLICABLE	REPORT_BEST	8	1	0	0	RMS	1.4840819e-09	0.0033916	4.5937778e-13
FLOAT	MATRIX_COL_MAJOR	64	64	0	NEON	NOT_APPLICABLE	REPORT_BEST	8	2	0	0	RMS	0.0010825444	0.0958918	8.894727e-08
FLOAT	MATRIX_COL_MAJOR	64	64	0	BLAS	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	5.0646689e-11	0.0034667	5.7404556e-12
FLOAT	MATRIX_COL_MAJOR	64	64	0	METAL	MULTIPLE_COMMITS	REPORT_BEST	1	1	1	1	RMS	7.928791e-12	2.1187751	4.5337567e-05
FLOAT	MATRIX_COL_MAJOR	64	64	0	METAL	ONE_COMMIT	REPORT_BEST	1	1	1	1	RMS	7.928791e-12	0.5684583	1.5873597e-07
FLOAT	MATRIX_COL_MAJOR	128	128	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	0	0.1848957	1.2912435e-07
FLOAT	MATRIX_COL_MAJOR	128	128	0	NEON	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	9.9328228e-10	0.0414374	2.0211556e-12
FLOAT	MATRIX_COL_MAJOR	128	128	0	NEON	NOT_APPLICABLE	REPORT_BEST	2	1	0	0	RMS	9.9328228e-10	0.024454	1.7277778e-12
FLOAT	MATRIX_COL_MAJOR	128	128	0	NEON	NOT_APPLICABLE	REPORT_BEST	4	1	0	0	RMS	9.9328228e-10	0.0172123	9.5023333e-13
FLOAT	MATRIX_COL_MAJOR	128	128	0	NEON	NOT_APPLICABLE	REPORT_BEST	8	1	0	0	RMS	9.9328228e-10	0.0162167	6.909e-13
FLOAT	MATRIX_COL_MAJOR	128	128	0	NEON	NOT_APPLICABLE	REPORT_BEST	8	2	0	0	RMS	0.00046390665	0.0912499	1.0117878e-07
FLOAT	MATRIX_COL_MAJOR	128	128	0	NEON	NOT_APPLICABLE	REPORT_BEST	8	4	0	0	RMS	0.00046390665	0.1778333	1.9471902e-07
FLOAT	MATRIX_COL_MAJOR	128	128	0	BLAS	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	3.2526756e-11	0.01205	1.4508889e-12
FLOAT	MATRIX_COL_MAJOR	128	128	0	METAL	MULTIPLE_COMMITS	REPORT_BEST	1	1	1	1	RMS	1.0828932e-11	2.6783541	4.0340782e-06
