data element type	data element subtype	vector length/matrix row	matrix columns	number of non zeros	implementation type	metal implementation type	configuration interpretation for charts	loop unrolling factor	num CPU threads	num groups per grid	num threads per group	test data verification type	vefirication value	mean time milliseconds	stddev milliseconds
FLOAT	MATRIX_COL_MAJOR	64	64	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	0	0.0162499	1.5403222e-12
FLOAT	MATRIX_COL_MAJOR	64	64	0	NEON	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	3.6520004e-09	0.0088752	2.6884e-12
FLOAT	MATRIX_COL_MAJOR	64	64	0	NEON	NOT_APPLICABLE	REPORT_BEST	2	1	0	0	RMS	3.6520004e-09	0.0054625	1.9858944e-11
FLOAT	MATRIX_COL_MAJOR	64	64	0	NEON	NOT_APPLICABLE	REPORT_BEST	4	1	0	0	RMS	3.6520004e-09	0.0036084	8.5137778e-13
FLOAT	MATRIX_COL_MAJOR	64	64	0	NEON	NOT_APPLICABLE	REPORT_BEST	8	1	0	0	RMS	3.6520004e-09	0.003325	2.2346667e-12
FLOAT	MATRIX_COL_MAJOR	64	64	0	NEON	NOT_APPLICABLE	REPORT_BEST	8	2	0	0	RMS	0.0012921539	0.0652415	3.5979627e-07
FLOAT	MATRIX_COL_MAJOR	64	64	0	BLAS	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	4.521936e-11	0.0035958	5.0450667e-12
FLOAT	MATRIX_COL_MAJOR	64	64	0	METAL	MULTIPLE_COMMITS	REPORT_BEST	1	1	1	1	RMS	9.8796413e-12	5.7814123	3.2711241e-05
FLOAT	MATRIX_COL_MAJOR	64	64	0	METAL	ONE_COMMIT	REPORT_BEST	1	1	1	1	RMS	9.8796413e-12	0.8281333	8.7982345e-07
FLOAT	MATRIX_COL_MAJOR	128	128	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	0	0.1088	2.7753736e-09
FLOAT	MATRIX_COL_MAJOR	128	128	0	NEON	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	8.0363722e-10	0.0556333	6.4853444e-12
FLOAT	MATRIX_COL_MAJOR	128	128	0	NEON	NOT_APPLICABLE	REPORT_BEST	2	1	0	0	RMS	8.0363722e-10	0.0297252	3.0949511e-11
FLOAT	MATRIX_COL_MAJOR	128	128	0	NEON	NOT_APPLICABLE	REPORT_BEST	4	1	0	0	RMS	8.0363722e-10	0.0208999	6.9934333e-12
FLOAT	MATRIX_COL_MAJOR	128	128	0	NEON	NOT_APPLICABLE	REPORT_BEST	8	1	0	0	RMS	8.0363722e-10	0.0155582	2.0050667e-12
FLOAT	MATRIX_COL_MAJOR	128	128	0	NEON	NOT_APPLICABLE	REPORT_BEST	8	2	0	0	RMS	0.00044809789	0.0727125	5.7442106e-08
FLOAT	MATRIX_COL_MAJOR	128	128	0	NEON	NOT_APPLICABLE	REPORT_BEST	8	4	0	0	RMS	0.00044809789	0.16535	1.1134102e-06
FLOAT	MATRIX_COL_MAJOR	128	128	0	BLAS	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	2.6348615e-11	0.0117375	8.1058333e-12
FLOAT	MATRIX_COL_MAJOR	128	128	0	METAL	MULTIPLE_COMMITS	REPORT_BEST	1	1	1	1	RMS	8.5110801e-12	6.7213582	1.0395949e-05
FLOAT	MATRIX_COL_MAJOR	128	128	0	METAL	ONE_COMMIT	REPORT_BEST	1	1	1	1	RMS	8.5110801e-12	1.0123459	1.081498e-06
FLOAT	MATRIX_COL_MAJOR	256	256	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	0	0.7498957	9.9216625e-07
FLOAT	MATRIX_COL_MAJOR	256	256	0	NEON	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	3.6271858e-10	0.2616373	1.895997e-07
FLOAT	MATRIX_COL_MAJOR	256	256	0	NEON	NOT_APPLICABLE	REPORT_BEST	2	1	0	0	RMS	3.6271858e-10	0.1359791	1.2824989e-11
FLOAT	MATRIX_COL_MAJOR	256	256	0	NEON	NOT_APPLICABLE	REPORT_BEST	4	1	0	0	RMS	3.6271858e-10	0.0797127	4.0546778e-12
FLOAT	MATRIX_COL_MAJOR	256	256	0	NEON	NOT_APPLICABLE	REPORT_BEST	8	1	0	0	RMS	3.6271858e-10	0.0653041	9.7329878e-11
FLOAT	MATRIX_COL_MAJOR	256	256	0	NEON	NOT_APPLICABLE	REPORT_BEST	8	2	0	0	RMS	nan	0.1141209	4.1042487e-07
FLOAT	MATRIX_COL_MAJOR	256	256	0	NEON	NOT_APPLICABLE	REPORT_BEST	8	4	0	0	RMS	nan	0.1661251	2.9792671e-07
FLOAT	MATRIX_COL_MAJOR	256	256	0	NEON	NOT_APPLICABLE	REPORT_BEST	8	8	0	0	RMS	nan	0.2438042	3.6341985e-07
FLOAT	MATRIX_COL_MAJOR	256	256	0	BLAS	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	9.739828e-12	0.0249456	2.0120933e-11
FLOAT	MATRIX_COL_MAJOR	256	256	0	METAL	MULTIPLE_COMMITS	REPORT_BEST	1	1	1	1	RMS	2.5718506e-12	5.7873416	4.5735207e-05
FLOAT	MATRIX_COL_MAJOR	256	256	0	METAL	ONE_COMMIT	REPORT_BEST	1	1	1	1	RMS	2.5718506e-12	1.2761417	2.1113356e-06
FLOAT	MATRIX_COL_MAJOR	512	512	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	0	1.6952833	6.2191934e-10
FLOAT	MATRIX_COL_MAJOR	512	512	0	NEON	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	1.1889167e-10	0.7163333	1.1182233e-11
FLOAT	MATRIX_COL_MAJOR	512	512	0	NEON	NOT_APPLICABLE	REPORT_BEST	2	1	0	0	RMS	1.1889167e-10	0.374371	2.5763916e-08
FLOAT	MATRIX_COL_MAJOR	512	512	0	NEON	NOT_APPLICABLE	REPORT_BEST	4	1	0	0	RMS	1.1889167e-10	0.2042666	2.32156e-11
FLOAT	MATRIX_COL_MAJOR	512	512	0	NEON	NOT_APPLICABLE	REPORT_BEST	8	1	0	0	RMS	1.1889167e-10	0.1651083	2.6736001e-10
FLOAT	MATRIX_COL_MAJOR	512	512	0	NEON	NOT_APPLICABLE	REPORT_BEST	8	2	0	0	RMS	5.3601984e-05	0.1622499	4.5483356e-07
FLOAT	MATRIX_COL_MAJOR	512	512	0	NEON	NOT_APPLICABLE	REPORT_BEST	8	4	0	0	RMS	5.3601984e-05	0.2130834	2.0699253e-07
FLOAT	MATRIX_COL_MAJOR	512	512	0	NEON	NOT_APPLICABLE	REPORT_BEST	8	8	0	0	RMS	5.3601984e-05	0.2951958	1.1148644e-07
FLOAT	MATRIX_COL_MAJOR	512	512	0	BLAS	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	3.625068e-12	0.0709501	8.8613211e-11
FLOAT	MATRIX_COL_MAJOR	512	512	0	METAL	MULTIPLE_COMMITS	REPORT_BEST	1	1	1	1	RMS	1.0006807e-12	6.1801625	5.7852601e-05
FLOAT	MATRIX_COL_MAJOR	512	512	0	METAL	ONE_COMMIT	REPORT_BEST	1	1	1	1	RMS	1.0006807e-12	2.2100208	1.9033857e-05
FLOAT	MATRIX_COL_MAJOR	1024	1024	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	0	9.7253793	0.00016792985
FLOAT	MATRIX_COL_MAJOR	1024	1024	0	NEON	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	4.2246102e-11	3.3833834	3.5140243e-08
FLOAT	MATRIX_COL_MAJOR	1024	1024	0	NEON	NOT_APPLICABLE	REPORT_BEST	2	1	0	0	RMS	4.2246102e-11	1.7302918	4.2899861e-08
FLOAT	MATRIX_COL_MAJOR	1024	1024	0	NEON	NOT_APPLICABLE	REPORT_BEST	4	1	0	0	RMS	4.2246102e-11	0.9070999	6.8122856e-08
FLOAT	MATRIX_COL_MAJOR	1024	1024	0	NEON	NOT_APPLICABLE	REPORT_BEST	8	1	0	0	RMS	4.2246102e-11	0.8986084	6.4699373e-08
FLOAT	MATRIX_COL_MAJOR	1024	1024	0	NEON	NOT_APPLICABLE	REPORT_BEST	8	2	0	0	RMS	2.4956674e+16	0.5548167	6.9935557e-08
