data element type	data element subtype	vector length/matrix row	matrix columns	number of non zeros	implementation type	metal implementation type	configuration interpretation for charts	loop unrolling factor	num CPU threads	num groups per grid	num threads per group	test data verification type	vefirication value	mean time milliseconds	stddev milliseconds	feasibility error	approx condition num	num pivots	num iterations	num susspace minimizations
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	64	64	0	LEMKE_CPP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	2.004259e-07	0.026225	1.99528e-10	0	1	27	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	64	64	0	LEMKE_NEON	NOT_APPLICABLE	REPORT_BEST	4	1	0	0	RMS	2.7401422e-07	0.0298166	3.1647604e-10	0	1	27	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	64	64	0	LEMKE_VDSP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	2.6898574e-07	0.0342165	1.1760206e-10	0	1	27	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	64	64	0	LEMKE_NEON	NOT_APPLICABLE	REPORT_BEST	4	4	0	0	RMS	2.7401422e-07	0.7430042	2.4109275e-05	0	1	27	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	64	64	0	LEMKE_NEON	NOT_APPLICABLE	REPORT_BEST	4	8	0	0	RMS	2.7401422e-07	1.003575	2.8766264e-06	0	1	27	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	64	64	0	LEMKE_NEON	NOT_APPLICABLE	REPORT_BEST	4	16	0	0	RMS	2.7401422e-07	1.3785833	1.6415692e-05	0	1	27	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	64	64	0	LEMKE_VDSP	NOT_APPLICABLE	REPORT_BEST	1	4	0	0	RMS	2.6898574e-07	0.530346	3.4308807e-06	0	1	27	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	64	64	0	LEMKE_VDSP	NOT_APPLICABLE	REPORT_BEST	1	8	0	0	RMS	2.6898574e-07	0.6853165	9.905444e-07	0	1	27	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	64	64	0	LEMKE_VDSP	NOT_APPLICABLE	REPORT_BEST	1	16	0	0	RMS	2.6898574e-07	0.9427626	1.4046728e-05	0	1	27	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	64	64	0	LEMKE_BULLET_ORIGINAL	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	4.3442903e-07	1.4723874	7.8404725e-06	0	1	25	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	64	64	0	LEMKE_BULLET_IMPROVED_LEXICO_MINIMUM	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	4.3442903e-07	0.2051042	2.1964777e-09	0	1	25	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	64	64	0	PGS_VDSP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	2.2269041e-08	0.0214084	1.4673778e-12	1.2814667e-07	1	0	10	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	64	64	0	PGS_SM_VDSP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	2.3477633e-08	0.0171833	9.1121789e-11	7.1792431e-08	1	0	10	1

FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	128	128	0	LEMKE_CPP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	2.8155802e-07	0.2124292	1.2587777e-09	0	1	64	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	128	128	0	LEMKE_NEON	NOT_APPLICABLE	REPORT_BEST	4	1	0	0	RMS	3.4602406e-07	0.2915999	1.2996365e-09	0	1	64	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	128	128	0	LEMKE_VDSP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	2.3774685e-07	0.2525125	3.3444947e-09	0	1	64	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	128	128	0	LEMKE_NEON	NOT_APPLICABLE	REPORT_BEST	4	4	0	0	RMS	3.4602406e-07	0.989471	1.5699574e-05	0	1	64	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	128	128	0	LEMKE_NEON	NOT_APPLICABLE	REPORT_BEST	4	8	0	0	RMS	3.4602406e-07	1.0958416	8.2389115e-07	0	1	64	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	128	128	0	LEMKE_NEON	NOT_APPLICABLE	REPORT_BEST	4	16	0	0	RMS	3.4602406e-07	1.5024459	9.6981042e-07	0	1	64	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	128	128	0	LEMKE_VDSP	NOT_APPLICABLE	REPORT_BEST	1	4	0	0	RMS	2.3774685e-07	0.8287709	9.712618e-07	0	1	64	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	128	128	0	LEMKE_VDSP	NOT_APPLICABLE	REPORT_BEST	1	8	0	0	RMS	2.3774685e-07	1.0366209	1.7002425e-06	0	1	64	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	128	128	0	LEMKE_VDSP	NOT_APPLICABLE	REPORT_BEST	1	16	0	0	RMS	2.3774685e-07	1.3490332	6.7637104e-07	0	1	64	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	128	128	0	LEMKE_BULLET_ORIGINAL	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	2.6000073e-07	8.310025	8.0588821e-07	0	1	62	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	128	128	0	LEMKE_BULLET_IMPROVED_LEXICO_MINIMUM	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	2.6000073e-07	1.5504792	2.8618662e-07	0	1	62	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	128	128	0	PGS_VDSP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	2.8113291e-08	0.0463998	1.852894e-09	4.7811404e-07	1	0	10	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	128	128	0	PGS_SM_VDSP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	2.8252763e-08	0.0383583	2.6328847e-09	4.4826975e-07	1	0	10	1

FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	256	256	0	LEMKE_CPP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	3.4088797e-07	1.7923002	4.2906199e-07	0	1	118	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	256	256	0	LEMKE_NEON	NOT_APPLICABLE	REPORT_BEST	4	1	0	0	RMS	3.9015676e-07	2.2788585	6.3223543e-08	0	1	118	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	256	256	0	LEMKE_VDSP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	3.4839494e-07	2.0795082	5.3026806e-07	0	1	118	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	256	256	0	LEMKE_NEON	NOT_APPLICABLE	REPORT_BEST	4	4	0	0	RMS	3.9015676e-07	2.4797835	4.7492018e-05	0	1	118	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	256	256	0	LEMKE_NEON	NOT_APPLICABLE	REPORT_BEST	4	8	0	0	RMS	3.9015676e-07	3.2024333	0.00019904359	0	1	118	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	256	256	0	LEMKE_NEON	NOT_APPLICABLE	REPORT_BEST	4	16	0	0	RMS	3.9015676e-07	3.3587541	9.7862518e-07	0	1	118	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	256	256	0	LEMKE_VDSP	NOT_APPLICABLE	REPORT_BEST	1	4	0	0	RMS	3.4839494e-07	2.1772083	1.6438311e-06	0	1	118	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	256	256	0	LEMKE_VDSP	NOT_APPLICABLE	REPORT_BEST	1	8	0	0	RMS	3.4839494e-07	2.4775125	1.1788173e-06	0	1	118	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	256	256	0	LEMKE_VDSP	NOT_APPLICABLE	REPORT_BEST	1	16	0	0	RMS	3.4839494e-07	3.1308586	3.0942701e-06	0	1	118	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	256	256	0	LEMKE_BULLET_ORIGINAL	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	5.2098263e-07	52.771712	1.5722635e-06	0	1	116	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	256	256	0	LEMKE_BULLET_IMPROVED_LEXICO_MINIMUM	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	5.2098263e-07	10.921854	7.0721935e-07	0	1	116	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	256	256	0	PGS_VDSP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	2.2583022e-08	0.1335834	3.8021004e-10	2.6857784e-07	1	0	10	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	256	256	0	PGS_SM_VDSP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	2.3758077e-08	0.1033208	8.2855586e-09	2.1741339e-07	1	0	10	1

FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	512	512	0	LEMKE_CPP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	4.975111e-07	15.619529	3.8308892e-07	0	1	261	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	512	512	0	LEMKE_NEON	NOT_APPLICABLE	REPORT_BEST	4	1	0	0	RMS	5.4148868e-07	20.484125	2.1885823e-06	0	1	261	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	512	512	0	LEMKE_VDSP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	5.0325234e-07	34.3886	7.2346041e-07	0	1	261	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	512	512	0	LEMKE_NEON	NOT_APPLICABLE	REPORT_BEST	4	4	0	0	RMS	5.4148868e-07	10.547117	0.0001080192	0	1	261	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	512	512	0	LEMKE_NEON	NOT_APPLICABLE	REPORT_BEST	4	8	0	0	RMS	5.4148868e-07	10.970087	4.6698809e-06	0	1	261	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	512	512	0	LEMKE_NEON	NOT_APPLICABLE	REPORT_BEST	4	16	0	0	RMS	5.4148868e-07	12.174704	1.7102601e-05	0	1	261	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	512	512	0	LEMKE_VDSP	NOT_APPLICABLE	REPORT_BEST	1	4	0	0	RMS	5.0325234e-07	16.696729	4.1426736e-05	0	1	261	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	512	512	0	LEMKE_VDSP	NOT_APPLICABLE	REPORT_BEST	1	8	0	0	RMS	5.0325234e-07	17.862004	0.00065745212	0	1	261	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	512	512	0	LEMKE_VDSP	NOT_APPLICABLE	REPORT_BEST	1	16	0	0	RMS	5.0325234e-07	34.622033	2.4435463	0	1	261	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	512	512	0	LEMKE_BULLET_ORIGINAL	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	5.3337527e-07	445.896	1.8080987e-05	0	1	259	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	512	512	0	LEMKE_BULLET_IMPROVED_LEXICO_MINIMUM	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	5.3337527e-07	95.4542	3.7417845e-06	0	1	259	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	512	512	0	PGS_VDSP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	3.2437504e-08	0.518921	1.1222184e-09	2.2584453e-06	1	0	10	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	512	512	0	PGS_SM_VDSP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	3.2986328e-08	0.3591916	3.930368e-09	1.816918e-06	1	0	10	1

FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	1024	1024	0	LEMKE_CPP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	8.2545858e-07	121.56472	4.8226898e-05	0	1	519	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	1024	1024	0	LEMKE_NEON	NOT_APPLICABLE	REPORT_BEST	4	1	0	0	RMS	8.5015034e-07	152.05995	6.6392854e-06	0	1	519	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	1024	1024	0	LEMKE_VDSP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	7.1666007e-07	165.91162	0.0087175191	0	1	519	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	1024	1024	0	LEMKE_NEON	NOT_APPLICABLE	REPORT_BEST	4	4	0	0	RMS	8.5015034e-07	60.916775	0.078599375	0	1	519	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	1024	1024	0	LEMKE_NEON	NOT_APPLICABLE	REPORT_BEST	4	8	0	0	RMS	8.5015034e-07	61.29505	0.030148578	0	1	519	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	1024	1024	0	LEMKE_NEON	NOT_APPLICABLE	REPORT_BEST	4	16	0	0	RMS	8.5015034e-07	74.195375	1.7120141	0	1	519	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	1024	1024	0	LEMKE_VDSP	NOT_APPLICABLE	REPORT_BEST	1	4	0	0	RMS	7.1666007e-07	113.81482	0.0035548952	0	1	519	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	1024	1024	0	LEMKE_VDSP	NOT_APPLICABLE	REPORT_BEST	1	8	0	0	RMS	7.1666007e-07	101.04855	0.00020757322	0	1	519	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	1024	1024	0	LEMKE_VDSP	NOT_APPLICABLE	REPORT_BEST	1	16	0	0	RMS	7.1666007e-07	132.23051	2.9108449	0	1	519	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	1024	1024	0	LEMKE_BULLET_ORIGINAL	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	1.0718211e-06	3639.1039	0.00044038648	0	1	517	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	1024	1024	0	LEMKE_BULLET_IMPROVED_LEXICO_MINIMUM	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	1.0718211e-06	739.91663	0.001704324	0	1	517	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	1024	1024	0	PGS_VDSP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	3.4340342e-08	1.7093958	1.729666e-09	1.6528349e-06	1	0	9	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	1024	1024	0	PGS_SM_VDSP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	3.3649881e-08	1.4442625	4.8474842e-07	1.522452e-06	1	0	10	1

FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	64	64	0	LEMKE_CPP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	1.7747498e-07	0.0298001	1.6881764e-08	0	10	30	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	64	64	0	LEMKE_NEON	NOT_APPLICABLE	REPORT_BEST	4	1	0	0	RMS	2.6263977e-07	0.0330084	7.0609896e-09	0	10	30	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	64	64	0	LEMKE_VDSP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	3.41874e-07	0.0380416	4.5335204e-10	0	10	30	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	64	64	0	LEMKE_NEON	NOT_APPLICABLE	REPORT_BEST	4	4	0	0	RMS	2.6263977e-07	0.5604542	6.9468093e-05	0	10	30	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	64	64	0	LEMKE_NEON	NOT_APPLICABLE	REPORT_BEST	4	8	0	0	RMS	2.6263977e-07	0.4476918	1.2355962e-07	0	10	30	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	64	64	0	LEMKE_NEON	NOT_APPLICABLE	REPORT_BEST	4	16	0	0	RMS	2.6263977e-07	0.6460543	1.6072032e-07	0	10	30	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	64	64	0	LEMKE_VDSP	NOT_APPLICABLE	REPORT_BEST	1	4	0	0	RMS	3.41874e-07	0.2866541	2.4687539e-07	0	10	30	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	64	64	0	LEMKE_VDSP	NOT_APPLICABLE	REPORT_BEST	1	8	0	0	RMS	3.41874e-07	0.4375416	5.8845823e-07	0	10	30	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	64	64	0	LEMKE_VDSP	NOT_APPLICABLE	REPORT_BEST	1	16	0	0	RMS	3.41874e-07	0.6553999	1.4622675e-05	0	10	30	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	64	64	0	LEMKE_BULLET_ORIGINAL	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	2.386528e-07	1.3996334	4.1146869e-08	0	10	28	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	64	64	0	LEMKE_BULLET_IMPROVED_LEXICO_MINIMUM	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	2.386528e-07	0.1980293	1.6513423e-10	0	10	28	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	64	64	0	PGS_VDSP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	2.0943777e-08	0.0182792	5.9434178e-11	8.9524491e-08	10	0	9	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	64	64	0	PGS_SM_VDSP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	2.0962728e-08	0.0168501	6.5220321e-10	8.9524491e-08	10	0	10	1

FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	128	128	0	LEMKE_CPP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	2.8489982e-07	0.1924708	9.3583507e-10	0	10	61	0	0
