data element type	data element subtype	vector length/matrix row	matrix columns	number of non zeros	implementation type	metal implementation type	configuration interpretation for charts	loop unrolling factor	num CPU threads	num groups per grid	num threads per group	test data verification type	vefirication value	mean time milliseconds	stddev milliseconds	feasibility error	approx condition num	num pivots	num iterations	num susspace minimizations
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	64	64	0	LEMKE_CPP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	1.8744354e-07	0.1783	1.5952195e-08	0	1	27	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	64	64	0	LEMKE_NEON	NOT_APPLICABLE	REPORT_BEST	4	1	0	0	RMS	1.3641619e-07	0.1917124	1.0800619e-08	0	1	27	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	64	64	0	LEMKE_VDSP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	1.3641619e-07	0.1606251	7.1814953e-07	0	1	27	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	64	64	0	LEMKE_NEON	NOT_APPLICABLE	REPORT_BEST	4	4	0	0	RMS	1.3641619e-07	1.1060916	2.5910581e-05	0	1	27	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	64	64	0	LEMKE_NEON	NOT_APPLICABLE	REPORT_BEST	4	8	0	0	RMS	1.3641619e-07	1.2198083	2.2102081e-05	0	1	27	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	64	64	0	LEMKE_NEON	NOT_APPLICABLE	REPORT_BEST	4	16	0	0	RMS	1.3641619e-07	1.8714752	3.709366e-06	0	1	27	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	64	64	0	LEMKE_VDSP	NOT_APPLICABLE	REPORT_BEST	1	4	0	0	RMS	1.3641619e-07	0.4853085	3.4063099e-06	0	1	27	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	64	64	0	LEMKE_VDSP	NOT_APPLICABLE	REPORT_BEST	1	8	0	0	RMS	1.3641619e-07	0.8884749	7.4641282e-06	0	1	27	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	64	64	0	LEMKE_VDSP	NOT_APPLICABLE	REPORT_BEST	1	16	0	0	RMS	1.3641619e-07	1.3989211	1.6503169e-05	0	1	27	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	64	64	0	LEMKE_BULLET_ORIGINAL	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	3.1272452e-07	1.1655126	2.719189e-06	0	1	25	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	64	64	0	LEMKE_BULLET_IMPROVED_LEXICO_MINIMUM	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	3.1272452e-07	0.18515	9.8951051e-09	0	1	25	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	64	64	0	PGS_VDSP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	2.0630436e-08	0.0173708	5.5901778e-12	3.0121061e-08	1	0	10	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	64	64	0	PGS_SM_VDSP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	2.051202e-08	0.0143874	3.2871982e-10	2.7397227e-10	1	0	10	1
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	128	128	0	LEMKE_CPP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	2.8893708e-07	0.1727543	2.3428453e-09	0	1	58	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	128	128	0	LEMKE_NEON	NOT_APPLICABLE	REPORT_BEST	4	1	0	0	RMS	3.0175054e-07	0.2051959	1.3501663e-09	0	1	58	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	128	128	0	LEMKE_VDSP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	3.0175054e-07	0.2105375	9.4636517e-10	0	1	58	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	128	128	0	LEMKE_NEON	NOT_APPLICABLE	REPORT_BEST	4	4	0	0	RMS	3.0175054e-07	1.0557333	4.2105604e-06	0	1	58	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	128	128	0	LEMKE_NEON	NOT_APPLICABLE	REPORT_BEST	4	8	0	0	RMS	3.0175054e-07	1.6563791	2.0242669e-06	0	1	58	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	128	128	0	LEMKE_NEON	NOT_APPLICABLE	REPORT_BEST	4	16	0	0	RMS	3.0175054e-07	2.645471	1.2868678e-05	0	1	58	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	128	128	0	LEMKE_VDSP	NOT_APPLICABLE	REPORT_BEST	1	4	0	0	RMS	3.0175054e-07	0.9511334	2.6752785e-06	0	1	58	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	128	128	0	LEMKE_VDSP	NOT_APPLICABLE	REPORT_BEST	1	8	0	0	RMS	3.0175054e-07	1.6013581	1.9278128e-05	0	1	58	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	128	128	0	LEMKE_VDSP	NOT_APPLICABLE	REPORT_BEST	1	16	0	0	RMS	3.0175054e-07	2.7307294	6.5331895e-06	0	1	58	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	128	128	0	LEMKE_BULLET_ORIGINAL	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	2.8859292e-07	8.3030874	4.2384507e-07	0	1	56	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	128	128	0	LEMKE_BULLET_IMPROVED_LEXICO_MINIMUM	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	2.8859292e-07	1.4030626	1.2414367e-07	0	1	56	0	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	128	128	0	PGS_VDSP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	2.303791e-08	0.0403459	9.6625444e-12	3.2917856e-07	1	0	10	0
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	128	128	0	PGS_SM_VDSP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	2.2054489e-08	0.0339169	8.4530566e-10	3.0666774e-07	1	0	10	1
FLOAT	RANDOM_DIAGONALLY_DOMINANT_SYMMETRIC	256	256	0	LEMKE_CPP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	3.8310785e-07	2.07375	1.2952843e-06	0	1	124	0	0
