data element type	data element subtype	vector length/matrix row	matrix columns	number of non zeros	implementation type	metal implementation type	configuration interpretation for charts	loop unrolling factor	num CPU threads	num groups per grid	num threads per group	test data verification type	vefirication value	mean time milliseconds	stddev milliseconds	num iterations	condition num
FLOAT	MATRIX_ROW_MAJOR	64	64	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	1.5112459e-07	0.0447875	6.2023805e-09	12	1
FLOAT	MATRIX_ROW_MAJOR	64	64	0	VDSP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	1.2344736e-07	0.0055126	3.8747111e-12	12	1
FLOAT	MATRIX_ROW_MAJOR	64	64	0	METAL	ONE_PASS_ATOMIC_SIMD_SUM	REPORT_BEST	1	1	1	1024	RMS	1.5950209e-07	0.3641084	5.4030081e-07	12	1

FLOAT	MATRIX_ROW_MAJOR	128	128	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	1.4750419e-07	0.1952165	1.1542382e-07	10	1
FLOAT	MATRIX_ROW_MAJOR	128	128	0	VDSP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	1.1024297e-07	0.0140833	3.829e-13	10	1
FLOAT	MATRIX_ROW_MAJOR	128	128	0	METAL	ONE_PASS_ATOMIC_SIMD_SUM	REPORT_BEST	1	1	1	1024	RMS	1.6199198e-07	0.5566083	4.1261185e-07	10	1

FLOAT	MATRIX_ROW_MAJOR	256	256	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	2.2822056e-07	0.7080708	6.3832158e-07	9	1
FLOAT	MATRIX_ROW_MAJOR	256	256	0	VDSP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	1.813748e-07	0.0227876	8.2640711e-11	9	1
FLOAT	MATRIX_ROW_MAJOR	256	256	0	METAL	ONE_PASS_ATOMIC_SIMD_SUM	REPORT_BEST	1	1	1	1024	RMS	2.2273877e-07	1.4333042	8.860951e-06	9	1

FLOAT	MATRIX_ROW_MAJOR	512	512	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	3.366433e-07	2.0815541	9.3870521e-09	8	1
FLOAT	MATRIX_ROW_MAJOR	512	512	0	VDSP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	2.3011241e-07	0.0683456	3.232636e-10	8	1
FLOAT	MATRIX_ROW_MAJOR	512	512	0	METAL	ONE_PASS_ATOMIC_SIMD_SUM	REPORT_BEST	1	1	1	1024	RMS	3.3542407e-07	3.1714168	0.0005477125	8	1

FLOAT	MATRIX_ROW_MAJOR	1024	1024	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	4.3822901e-07	8.5989915	4.4456356e-07	8	1
FLOAT	MATRIX_ROW_MAJOR	1024	1024	0	VDSP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	3.1415115e-07	0.2319876	7.5136489e-11	8	1
FLOAT	MATRIX_ROW_MAJOR	1024	1024	0	METAL	ONE_PASS_ATOMIC_SIMD_SUM	REPORT_BEST	1	1	1	1024	RMS	4.3907072e-07	10.533396	2.0172691e-05	8	1

FLOAT	MATRIX_ROW_MAJOR	2048	2048	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	6.3836909e-07	31.066763	3.0149389e-07	7	1
FLOAT	MATRIX_ROW_MAJOR	2048	2048	0	VDSP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	4.3844151e-07	2.37485	8.9348536e-06	6	1
FLOAT	MATRIX_ROW_MAJOR	2048	2048	0	METAL	ONE_PASS_ATOMIC_SIMD_SUM	REPORT_BEST	1	1	1	1024	RMS	6.3649635e-07	37.055633	5.3020604e-05	7	1

FLOAT	MATRIX_ROW_MAJOR	4096	4096	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	8.4756613e-07	109.52831	1.7238872e-05	6	1
FLOAT	MATRIX_ROW_MAJOR	4096	4096	0	VDSP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	6.0736713e-07	13.116592	0.00075575781	6	1
FLOAT	MATRIX_ROW_MAJOR	4096	4096	0	METAL	ONE_PASS_ATOMIC_SIMD_SUM	REPORT_BEST	1	1	1	1024	RMS	8.475158e-07	129.27475	0.00014549137	6	1

FLOAT	MATRIX_ROW_MAJOR	64	64	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	2.2118911e-07	0.1204542	2.1124e-12	28	10
FLOAT	MATRIX_ROW_MAJOR	64	64	0	VDSP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	1.2409327e-07	0.0141417	4.649e-13	28	10
FLOAT	MATRIX_ROW_MAJOR	64	64	0	METAL	ONE_PASS_ATOMIC_SIMD_SUM	REPORT_BEST	1	1	1	1024	RMS	1.9931609e-07	0.4266749	1.110508e-07	28	10

FLOAT	MATRIX_ROW_MAJOR	128	128	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	2.093844e-07	0.5591541	5.8076556e-12	29	10
FLOAT	MATRIX_ROW_MAJOR	128	128	0	VDSP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	1.5003196e-07	0.0439126	8.2764889e-12	29	10
FLOAT	MATRIX_ROW_MAJOR	128	128	0	METAL	ONE_PASS_ATOMIC_SIMD_SUM	REPORT_BEST	1	1	1	1024	RMS	2.0578688e-07	0.7274875	1.2928369e-07	29	10

FLOAT	MATRIX_ROW_MAJOR	256	256	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	2.5562239e-07	2.1347998	2.0647461e-05	31	10
FLOAT	MATRIX_ROW_MAJOR	256	256	0	VDSP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	2.0775511e-07	0.0671958	5.7992889e-12	31	10
FLOAT	MATRIX_ROW_MAJOR	256	256	0	METAL	ONE_PASS_ATOMIC_SIMD_SUM	REPORT_BEST	1	1	1	1024	RMS	2.3851597e-07	2.4502584	1.9472091e-07	31	10

FLOAT	MATRIX_ROW_MAJOR	512	512	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	3.3578573e-07	7.3927667	1.3413556e-07	31	10
FLOAT	MATRIX_ROW_MAJOR	512	512	0	VDSP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	2.2618434e-07	0.2351792	2.6303396e-10	31	10
FLOAT	MATRIX_ROW_MAJOR	512	512	0	METAL	ONE_PASS_ATOMIC_SIMD_SUM	REPORT_BEST	1	1	1	1024	RMS	3.3828457e-07	9.3870415	0.00064459266	31	10

FLOAT	MATRIX_ROW_MAJOR	1024	1024	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	5.2446257e-07	30.5383	5.6394414e-07	31	10
FLOAT	MATRIX_ROW_MAJOR	1024	1024	0	VDSP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	3.1499625e-07	0.8405085	1.3589969e-06	31	10
FLOAT	MATRIX_ROW_MAJOR	1024	1024	0	METAL	ONE_PASS_ATOMIC_SIMD_SUM	REPORT_BEST	1	1	1	1024	RMS	5.28734e-07	36.543675	1.7586029e-05	31	10

FLOAT	MATRIX_ROW_MAJOR	2048	2048	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	7.4987091e-07	128.16966	5.2059914e-06	32	10
FLOAT	MATRIX_ROW_MAJOR	2048	2048	0	VDSP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	4.7159821e-07	10.913433	0.00021495973	31	10
FLOAT	MATRIX_ROW_MAJOR	2048	2048	0	METAL	ONE_PASS_ATOMIC_SIMD_SUM	REPORT_BEST	1	1	1	1024	RMS	7.5378704e-07	151.79559	9.8627336e-05	32	10

FLOAT	MATRIX_ROW_MAJOR	4096	4096	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	9.9230936e-07	531.47977	4.5483161e-06	33	10
FLOAT	MATRIX_ROW_MAJOR	4096	4096	0	VDSP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	6.0562469e-07	61.657679	5.3728985e-05	33	10
FLOAT	MATRIX_ROW_MAJOR	4096	4096	0	METAL	ONE_PASS_ATOMIC_SIMD_SUM	REPORT_BEST	1	1	1	1024	RMS	9.9226117e-07	625.24321	2.2685732e-05	33	10

FLOAT	MATRIX_ROW_MAJOR	64	64	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	1.6569463e-07	0.1453706	5.5604889e-12	34	100
FLOAT	MATRIX_ROW_MAJOR	64	64	0	VDSP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	1.6989527e-07	0.0167374	7.8515556e-13	34	100
FLOAT	MATRIX_ROW_MAJOR	64	64	0	METAL	ONE_PASS_ATOMIC_SIMD_SUM	REPORT_BEST	1	1	1	1024	RMS	1.613174e-07	0.4846459	5.3422733e-08	34	100

FLOAT	MATRIX_ROW_MAJOR	128	128	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	2.6288857e-07	1.4695666	8.3640734e-06	73	100
FLOAT	MATRIX_ROW_MAJOR	128	128	0	VDSP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	1.5611564e-07	0.1078584	3.5767111e-12	73	100
FLOAT	MATRIX_ROW_MAJOR	128	128	0	METAL	ONE_PASS_ATOMIC_SIMD_SUM	REPORT_BEST	1	1	1	1024	RMS	2.7239897e-07	1.5382458	1.2498044e-07	73	100

FLOAT	MATRIX_ROW_MAJOR	256	256	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	3.4319827e-07	3.7294124	9.3248812e-05	59	100
FLOAT	MATRIX_ROW_MAJOR	256	256	0	VDSP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	2.0433901e-07	0.1193918	1.002144e-10	58	100
FLOAT	MATRIX_ROW_MAJOR	256	256	0	METAL	ONE_PASS_ATOMIC_SIMD_SUM	REPORT_BEST	1	1	1	1024	RMS	3.3756058e-07	4.4421958	3.1018809e-07	59	100

FLOAT	MATRIX_ROW_MAJOR	512	512	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	4.4149134e-07	20.547579	1.4113913e-07	88	100
FLOAT	MATRIX_ROW_MAJOR	512	512	0	VDSP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	2.7767688e-07	0.6486415	1.1868179e-08	88	100
FLOAT	MATRIX_ROW_MAJOR	512	512	0	METAL	ONE_PASS_ATOMIC_SIMD_SUM	REPORT_BEST	1	1	1	1024	RMS	4.4579598e-07	25.044379	1.0437704e-05	88	100

FLOAT	MATRIX_ROW_MAJOR	1024	1024	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	6.4795373e-07	92.622696	3.0248833e-05	96	100
FLOAT	MATRIX_ROW_MAJOR	1024	1024	0	VDSP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	3.5251031e-07	2.4387416	7.850644e-09	96	100
FLOAT	MATRIX_ROW_MAJOR	1024	1024	0	METAL	ONE_PASS_ATOMIC_SIMD_SUM	REPORT_BEST	1	1	1	1024	RMS	6.6275316e-07	110.38025	2.4668175e-05	96	100

FLOAT	MATRIX_ROW_MAJOR	2048	2048	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	8.9075057e-07	384.63655	5.1868519e-06	98	100
FLOAT	MATRIX_ROW_MAJOR	2048	2048	0	VDSP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	4.6394619e-07	30.929842	6.5251683e-05	93	100
FLOAT	MATRIX_ROW_MAJOR	2048	2048	0	METAL	ONE_PASS_ATOMIC_SIMD_SUM	REPORT_BEST	1	1	1	1024	RMS	8.8663476e-07	459.0923	6.6949076e-05	99	100

FLOAT	MATRIX_ROW_MAJOR	4096	4096	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	1.2237974e-06	1547.0174	0.0001932788	98	100
FLOAT	MATRIX_ROW_MAJOR	4096	4096	0	VDSP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	6.5603515e-07	180.64501	0.01951448	97	100
FLOAT	MATRIX_ROW_MAJOR	4096	4096	0	METAL	ONE_PASS_ATOMIC_SIMD_SUM	REPORT_BEST	1	1	1	1024	RMS	1.2277988e-06	1823.8393	0.0012456021	98	100

FLOAT	MATRIX_ROW_MAJOR	64	64	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	1.7591584e-07	0.1910792	8.6092889e-12	45	1000
FLOAT	MATRIX_ROW_MAJOR	64	64	0	VDSP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	1.0409691e-07	0.0222375	2.4309611e-11	45	1000
FLOAT	MATRIX_ROW_MAJOR	64	64	0	METAL	ONE_PASS_ATOMIC_SIMD_SUM	REPORT_BEST	1	1	1	1024	RMS	1.6448855e-07	0.5924461	9.5483428e-08	46	1000

FLOAT	MATRIX_ROW_MAJOR	128	128	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	2.4592185e-07	1.2880417	5.9414544e-06	65	1000
FLOAT	MATRIX_ROW_MAJOR	128	128	0	VDSP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	1.9276191e-07	0.0982584	6.0729333e-12	66	1000
FLOAT	MATRIX_ROW_MAJOR	128	128	0	METAL	ONE_PASS_ATOMIC_SIMD_SUM	REPORT_BEST	1	1	1	1024	RMS	2.3011449e-07	1.4445458	5.5744692e-06	67	1000

FLOAT	MATRIX_ROW_MAJOR	256	256	0	CPP_BLOCK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	3.5500474e-07	5.019871	0.00014271263	84	1000
FLOAT	MATRIX_ROW_MAJOR	256	256	0	VDSP	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	2.2044922e-07	0.1750291	8.9312737e-09	84	1000
