data element type	data element subtype	vector length/matrix row	matrix columns	number of non zeros	implementation type	metal implementation type	configuration interpretation for charts	loop unrolling factor	num CPU threads	num groups per grid	num threads per group	test data verification type	vefirication value	mean time milliseconds	stddev milliseconds
FLOAT	MATRIX_ROW_MAJOR	64	64	0	LAPACK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	7.2086187e-08	0.0044043	6.5927934e-10

FLOAT	MATRIX_ROW_MAJOR	128	128	0	LAPACK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	8.6612591e-08	0.0357292	1.3794996e-10

FLOAT	MATRIX_ROW_MAJOR	256	256	0	LAPACK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	9.6402404e-08	0.0479251	2.7488222e-07

FLOAT	MATRIX_ROW_MAJOR	512	512	0	LAPACK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	1.2295552e-07	0.0696124	2.3532044e-11

FLOAT	MATRIX_ROW_MAJOR	1024	1024	0	LAPACK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	1.7340088e-07	0.1725042	1.7038951e-10

FLOAT	MATRIX_ROW_MAJOR	2048	2048	0	LAPACK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	2.125972e-07	0.5100045	1.468031e-08

FLOAT	MATRIX_ROW_MAJOR	4096	4096	0	LAPACK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	2.2780227e-07	1.6535542	8.8884756e-08

DOUBLE	MATRIX_ROW_MAJOR	64	64	0	LAPACK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	1.3663769e-16	0.0059247	1.8393468e-10

DOUBLE	MATRIX_ROW_MAJOR	128	128	0	LAPACK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	1.5484442e-16	0.0139417	1.5436868e-10

DOUBLE	MATRIX_ROW_MAJOR	256	256	0	LAPACK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	2.0467882e-16	0.0326794	3.4078278e-09

DOUBLE	MATRIX_ROW_MAJOR	512	512	0	LAPACK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	2.1347521e-16	0.0840251	3.2295454e-10

DOUBLE	MATRIX_ROW_MAJOR	1024	1024	0	LAPACK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	2.6740449e-16	0.2388584	2.5877958e-09

DOUBLE	MATRIX_ROW_MAJOR	2048	2048	0	LAPACK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	3.2778885e-16	0.7680917	2.4280046e-08

DOUBLE	MATRIX_ROW_MAJOR	4096	4096	0	LAPACK	NOT_APPLICABLE	REPORT_BEST	1	1	0	0	RMS	3.7797991e-16	2.7597625	1.5823954e-06

